,m,r,5,alpha
0,0.0,0.0,0.12450000000000006,1.0
1,0.0,1.0,0.12450000000000006,1.0
2,0.0,2.0,0.119,1.0
3,0.0,3.0,0.119,1.0
4,0.0,4.0,0.11650000000000005,1.0
5,0.0,5.0,0.12350000000000005,1.0
6,0.0,6.0,0.11850000000000005,1.0
7,0.0,7.0,0.11699999999999999,1.0
8,0.0,8.0,0.11299999999999999,1.0
9,0.0,9.0,0.11599999999999999,1.0
10,0.2,0.0,0.126,0.5
11,0.2,1.0,0.131,0.5
12,0.2,2.0,0.128,0.5
13,0.2,3.0,0.12350000000000005,0.5
14,0.2,4.0,0.131,0.5
15,0.2,5.0,0.135,0.5
16,0.2,6.0,0.13449999999999995,0.5
17,0.2,7.0,0.132,0.5
18,0.2,8.0,0.12849999999999995,0.5
19,0.2,9.0,0.12749999999999995,0.5
20,0.4,0.0,0.12649999999999995,0.5
21,0.4,1.0,0.131,0.5
22,0.4,2.0,0.12150000000000005,0.5
23,0.4,3.0,0.12450000000000006,0.5
24,0.4,4.0,0.128,0.5
25,0.4,5.0,0.12050000000000005,0.5
26,0.4,6.0,0.124,0.5
27,0.4,7.0,0.13249999999999995,0.5
28,0.4,8.0,0.12050000000000005,0.5
29,0.4,9.0,0.119,0.5
30,0.6,0.0,0.125,0.5
31,0.6,1.0,0.122,0.5
32,0.6,2.0,0.11599999999999999,0.5
33,0.6,3.0,0.13049999999999995,0.5
34,0.6,4.0,0.127,0.5
35,0.6,5.0,0.12450000000000006,0.5
36,0.6,6.0,0.12150000000000005,0.5
37,0.6,7.0,0.12549999999999994,0.5
38,0.6,8.0,0.12549999999999994,0.5
39,0.6,9.0,0.121,0.5
40,0.8,0.0,0.12,0.5
41,0.8,1.0,0.11950000000000005,0.5
42,0.8,2.0,0.126,0.5
43,0.8,3.0,0.11499999999999999,0.5
44,0.8,4.0,0.127,0.5
45,0.8,5.0,0.12150000000000005,0.5
46,0.8,6.0,0.125,0.5
47,0.8,7.0,0.123,0.5
48,0.8,8.0,0.12649999999999995,0.5
49,0.8,9.0,0.11850000000000005,0.5
50,1.0,0.0,0.13049999999999995,0.5
51,1.0,1.0,0.12749999999999995,0.5
52,1.0,2.0,0.135,0.5
53,1.0,3.0,0.12050000000000005,0.5
54,1.0,4.0,0.126,0.5
55,1.0,5.0,0.13349999999999995,0.5
56,1.0,6.0,0.13,0.5
57,1.0,7.0,0.12949999999999995,0.5
58,1.0,8.0,0.128,0.5
59,1.0,9.0,0.135,0.5
60,2.0,0.0,0.12749999999999995,0.5
61,2.0,1.0,0.13349999999999995,0.5
62,2.0,2.0,0.127,0.5
63,2.0,3.0,0.131,0.5
64,2.0,4.0,0.13049999999999995,0.5
65,2.0,5.0,0.12949999999999995,0.5
66,2.0,6.0,0.132,0.5
67,2.0,7.0,0.13349999999999995,0.5
68,2.0,8.0,0.13249999999999995,0.5
69,2.0,9.0,0.124,0.5
70,4.0,0.0,0.132,0.5
71,4.0,1.0,0.14149999999999996,0.5
72,4.0,2.0,0.14500000000000002,0.5
73,4.0,3.0,0.14300000000000002,0.5
74,4.0,4.0,0.12949999999999995,0.5
75,4.0,5.0,0.14849999999999997,0.5
76,4.0,6.0,0.13849999999999996,0.5
77,4.0,7.0,0.14700000000000002,0.5
78,4.0,8.0,0.14749999999999996,0.5
79,4.0,9.0,0.13649999999999995,0.5
