,target,ood,m_n,avg_err,std_err
47,1,2,20,0.34249999999999997,0.004449719092257381
48,1,3,0,0.32725,0.006341332667507663
49,1,3,1,0.39499999999999996,0.00647302093307292
50,1,3,2,0.37215,0.012161517175089624
51,1,3,3,0.3868499999999999,0.007710544727838605
52,1,3,4,0.40035,0.009821023368264636
53,1,3,5,0.4032,0.006615134163416502
54,1,3,10,0.41224999999999995,0.004854121959736897
55,1,3,20,0.43335,0.0028900692033236876
56,1,4,0,0.32725,0.006341332667507663
57,1,4,1,0.32645,0.004568643124604946
58,1,4,2,0.31715,0.01059492803184614
59,1,4,3,0.3198,0.004489988864128743
60,1,4,4,0.32839999999999997,0.00746257328272225
61,1,4,5,0.33855,0.005460998077274924
62,1,4,10,0.35459999999999997,0.008251666498350517
63,1,4,20,0.35940000000000005,0.0047791212581394125
64,2,0,0,0.2507499999999999,0.006087897830942925
65,2,0,1,0.2859999999999999,0.006078651166171667
66,2,0,2,0.30754999999999993,0.006802389286125858
67,2,0,3,0.30660000000000004,0.011819052415485752
68,2,0,4,0.31215,0.008958375968890795
69,2,0,5,0.3139999999999999,0.006971370023173334
70,2,0,10,0.3352,0.008361220006673666
71,2,0,20,0.34824999999999995,0.009260804500690011
72,2,1,0,0.2507499999999999,0.006087897830942925
73,2,1,1,0.2642999999999999,0.007912648102879343
74,2,1,2,0.26475,0.007613310712167203
75,2,1,3,0.26985,0.008130344396149519
76,2,1,4,0.2593499999999999,0.004527968639467369
77,2,1,5,0.2669499999999999,0.00793552140693982
78,2,1,10,0.28485,0.006450000000000019
79,2,1,20,0.27959999999999996,0.007415524256584986
80,2,3,0,0.2507499999999999,0.006087897830942925
81,2,3,1,0.27355,0.007750645134438784
82,2,3,2,0.27044999999999997,0.005592182042816552
83,2,3,3,0.29214999999999997,0.005701096385784059
84,2,3,4,0.30235,0.0056349356695529415
85,2,3,5,0.31629999999999997,0.0064078077374402735
86,2,3,10,0.33740000000000003,0.010133607452432712
87,2,3,20,0.3599,0.008196950652529275
88,2,4,0,0.2507499999999999,0.006087897830942925
89,2,4,1,0.2683999999999999,0.006163602842493977
90,2,4,2,0.3006,0.003819685850956859
91,2,4,3,0.303,0.009526279441628835
92,2,4,4,0.3074,0.008584287972802411
93,2,4,5,0.32199999999999995,0.007794228634059934
94,2,4,10,0.3410999999999999,0.005678027826631348
95,2,4,20,0.33814999999999995,0.005054948070949882
96,3,0,0,0.16984999999999997,0.00725275809606252
97,3,0,1,0.22234999999999996,0.0105665746578539
98,3,0,2,0.23424999999999999,0.010008121701897908
99,3,0,3,0.24225,0.010196200272650599
100,3,0,4,0.25684999999999997,0.005536469994500121
101,3,0,5,0.2651,0.006204030947698462
102,3,0,10,0.30705,0.009971083190907587
103,3,0,20,0.33624999999999994,0.00920937022819695
104,3,1,0,0.16984999999999997,0.00725275809606252
105,3,1,1,0.18465,0.009061042986323369
106,3,1,2,0.23819999999999997,0.015061872393563845
107,3,1,3,0.25064999999999993,0.013845667192302414
108,3,1,4,0.25614999999999993,0.008324812310196534
109,3,1,5,0.2712,0.00597996655509044
110,3,1,10,0.3356,0.008157205403813256
111,3,1,20,0.369,0.008668909966079918
112,3,2,0,0.16984999999999997,0.00725275809606252
113,3,2,1,0.19049999999999997,0.006399218702310465
114,3,2,2,0.19989999999999994,0.006417943595888018
115,3,2,3,0.21594999999999995,0.008110024660874942
116,3,2,4,0.21434999999999996,0.006903079023160593
117,3,2,5,0.22684999999999994,0.006745554091399788
118,3,2,10,0.28985,0.007456708389095013
119,3,2,20,0.3192,0.00975243559322492
120,3,4,0,0.16984999999999997,0.00725275809606252
121,3,4,1,0.17354999999999998,0.007856366844795397
122,3,4,2,0.19194999999999995,0.00953008394506574
123,3,4,3,0.20364999999999997,0.006881315281252548
124,3,4,4,0.19994999999999993,0.00816226071624768
125,3,4,5,0.21674999999999994,0.010112492274409893
126,3,4,10,0.21909999999999993,0.010059324032955697
127,3,4,20,0.2271999999999999,0.006458327956987018
128,4,0,0,0.20059999999999995,0.009663850164401354
129,4,0,1,0.20109999999999997,0.004369210454990679
130,4,0,2,0.20239999999999997,0.007045565981523403
131,4,0,3,0.20404999999999998,0.006680007485025749
132,4,0,4,0.20199999999999996,0.005338539126015665
133,4,0,5,0.19729999999999998,0.004838388161361178
134,4,0,10,0.19535,0.004080747480548142
135,4,0,20,0.20284999999999997,0.003950000000000009
136,4,1,0,0.20059999999999995,0.009663850164401354
137,4,1,1,0.24434999999999998,0.00273906918496047
138,4,1,2,0.25880000000000003,0.00902828887442135
139,4,1,3,0.25229999999999997,0.006356886030125117
140,4,1,4,0.24899999999999997,0.008255301327026145
141,4,1,5,0.2744,0.009142756695876822
142,4,1,10,0.2962999999999999,0.00941859862187576
143,4,1,20,0.29714999999999997,0.006957190524917375
144,4,2,0,0.20059999999999995,0.009663850164401354
145,4,2,1,0.22554999999999997,0.009212627204006492
146,4,2,2,0.24619999999999997,0.00764918296290523
147,4,2,3,0.2399,0.007323933369440249
148,4,2,4,0.25144999999999995,0.007404221768693838
149,4,2,5,0.24509999999999996,0.004773887304911989
150,4,2,10,0.26214999999999994,0.006648496070541048
151,4,2,20,0.27559999999999996,0.009068627239003707
152,4,3,0,0.20059999999999995,0.009663850164401354
153,4,3,1,0.2549,0.009313431161500029
154,4,3,2,0.23569999999999997,0.009176600677810938
155,4,3,3,0.23729999999999998,0.005950630218724751
156,4,3,4,0.2425,0.008511756575466661
157,4,3,5,0.24664999999999998,0.010883588562601952
158,4,3,10,0.26870000000000005,0.01384052022143678
159,4,3,20,0.28679999999999994,0.009975469913743438
