,target,ood,m_n,avg_err,std_err
0,0,1,0,0.17754999999999996,0.007447986305035735
1,0,1,1,0.22044999999999995,0.009100686787270528
2,0,1,2,0.22614999999999993,0.006062384019509142
3,0,1,3,0.21174999999999994,0.004545602270326799
4,0,1,4,0.22909999999999994,0.00870861642283091
5,0,1,5,0.23129999999999992,0.008570880934886482
6,0,1,10,0.2548499999999999,0.0037486664295452894
7,0,1,20,0.27480000000000004,0.011636580253665594
8,0,2,0,0.17754999999999996,0.007447986305035735
9,0,2,1,0.19604999999999997,0.0029107559155655918
10,0,2,2,0.2241999999999999,0.009626006440887118
11,0,2,3,0.20924999999999994,0.005464659184249314
12,0,2,4,0.21789999999999998,0.008954886933959587
13,0,2,5,0.22849999999999998,0.010679419459877038
14,0,2,10,0.22069999999999998,0.008857764955111447
15,0,2,20,0.2425499999999999,0.007567859671003435
16,0,3,0,0.17754999999999996,0.007447986305035735
17,0,3,1,0.24419999999999997,0.007413501197140257
18,0,3,2,0.2468,0.009268764750493963
19,0,3,3,0.2577,0.007057619995437558
20,0,3,4,0.26674999999999993,0.010179022546394122
21,0,3,5,0.27795000000000003,0.009935919685665737
22,0,3,10,0.31124999999999997,0.008213555868197369
23,0,3,20,0.32530000000000003,0.007978721702127503
24,0,4,0,0.17754999999999996,0.007447986305035735
25,0,4,1,0.16049999999999992,0.004753945729601925
26,0,4,2,0.16109999999999997,0.0067297845433565056
27,0,4,3,0.16439999999999996,0.004684015371452151
28,0,4,4,0.16749999999999998,0.006503845016603662
29,0,4,5,0.16804999999999998,0.0050122350304031334
30,0,4,10,0.17834999999999995,0.005736070083253866
31,0,4,20,0.18754999999999997,0.003677295201639369
32,1,0,0,0.32725,0.006341332667507663
33,1,0,1,0.32869999999999994,0.00753392328073497
34,1,0,2,0.3365999999999999,0.0070242437315344046
35,1,0,3,0.33669999999999994,0.006046486583132401
36,1,0,4,0.3425,0.004511097427455977
37,1,0,5,0.33585000000000004,0.008700718361146992
38,1,0,10,0.34024999999999994,0.004490267252625389
39,1,0,20,0.35289999999999994,0.005073460357586333
40,1,2,0,0.32725,0.006341332667507663
41,1,2,1,0.31609999999999994,0.0043231932642434495
42,1,2,2,0.31625000000000003,0.009667600529604027
43,1,2,3,0.32114999999999994,0.009457933178025728
44,1,2,4,0.32075,0.007922278712592773
45,1,2,5,0.3169,0.0054442630355264875
46,1,2,10,0.3238,0.003593048844644337
