,m,r,0,alpha,10,45,90,135
0,0.0,0.0,0.3275,0.5,0.3375,0.33099999999999996,0.33799999999999997,0.3225
1,0.0,1.0,0.3435,0.5,0.3185,0.3355,0.3205,0.346
2,0.0,2.0,0.32099999999999995,0.5,0.33599999999999997,0.3065,0.32099999999999995,0.3245
3,0.0,3.0,0.3345,0.5,0.33199999999999996,0.34099999999999997,0.34199999999999997,0.32799999999999996
4,0.0,4.0,0.3155,0.5,0.3295,0.3255,0.3315,0.32999999999999996
5,0.0,5.0,0.33799999999999997,0.5,0.32499999999999996,0.3315,0.31999999999999995,0.3365
6,0.0,6.0,0.32599999999999996,0.5,0.31799999999999995,0.3165,0.3315,0.3165
7,0.0,7.0,0.3285,0.5,0.32799999999999996,0.3245,0.31799999999999995,0.32099999999999995
8,0.0,8.0,0.33499999999999996,0.5,0.3425,0.31699999999999995,0.31999999999999995,0.3275
9,0.0,9.0,0.32899999999999996,0.5,0.3215,0.3245,0.3175,0.32499999999999996
10,1.0,0.0,0.28500000000000003,0.5,0.2955,0.30500000000000005,0.3315,0.33399999999999996
11,1.0,1.0,0.29400000000000004,0.5,0.3085,0.29800000000000004,0.34199999999999997,0.3235
12,1.0,2.0,0.2915,0.5,0.28600000000000003,0.31100000000000005,0.33299999999999996,0.31200000000000006
13,1.0,3.0,0.31000000000000005,0.5,0.2905,0.3285,0.34650000000000003,0.3245
14,1.0,4.0,0.2925,0.5,0.2975,0.3305,0.3205,0.3165
15,1.0,5.0,0.3015,0.5,0.3005,0.31399999999999995,0.33099999999999996,0.3375
16,1.0,6.0,0.3015,0.5,0.28500000000000003,0.32599999999999996,0.3295,0.3325
17,1.0,7.0,0.29300000000000004,0.5,0.2965,0.3165,0.3425,0.32799999999999996
18,1.0,8.0,0.29400000000000004,0.5,0.2875,0.31999999999999995,0.32999999999999996,0.33199999999999996
19,1.0,9.0,0.29200000000000004,0.5,0.29600000000000004,0.3025,0.3415,0.32699999999999996
20,2.0,0.0,0.28200000000000003,0.5,0.27249999999999996,0.2895,0.2945,0.31899999999999995
21,2.0,1.0,0.26449999999999996,0.5,0.278,0.28600000000000003,0.32199999999999995,0.3065
22,2.0,2.0,0.27349999999999997,0.5,0.271,0.2925,0.3215,0.3065
23,2.0,3.0,0.274,0.5,0.27749999999999997,0.28500000000000003,0.3245,0.2955
24,2.0,4.0,0.27449999999999997,0.5,0.26949999999999996,0.281,0.32499999999999996,0.2995
25,2.0,5.0,0.28,0.5,0.263,0.27749999999999997,0.31000000000000005,0.30400000000000005
26,2.0,6.0,0.281,0.5,0.27149999999999996,0.29900000000000004,0.3085,0.30500000000000005
27,2.0,7.0,0.272,0.5,0.28,0.27349999999999997,0.31499999999999995,0.31699999999999995
28,2.0,8.0,0.279,0.5,0.271,0.2865,0.3225,0.3135
29,2.0,9.0,0.27849999999999997,0.5,0.275,0.28700000000000003,0.31299999999999994,0.31200000000000006
30,3.0,0.0,0.24150000000000005,0.5,0.24850000000000005,0.275,0.30900000000000005,0.31100000000000005
31,3.0,1.0,0.25249999999999995,0.5,0.241,0.276,0.30600000000000005,0.3165
32,3.0,2.0,0.24,0.5,0.263,0.25749999999999995,0.30300000000000005,0.2945
33,3.0,3.0,0.25749999999999995,0.5,0.24650000000000005,0.273,0.31799999999999995,0.30200000000000005
34,3.0,4.0,0.24750000000000005,0.5,0.26949999999999996,0.264,0.3005,0.31299999999999994
35,3.0,5.0,0.241,0.5,0.25949999999999995,0.267,0.2905,0.30700000000000005
36,3.0,6.0,0.259,0.5,0.26349999999999996,0.279,0.30400000000000005,0.31999999999999995
37,3.0,7.0,0.243,0.5,0.26249999999999996,0.278,0.2965,0.31100000000000005
38,3.0,8.0,0.249,0.5,0.252,0.27549999999999997,0.29500000000000004,0.3105
39,3.0,9.0,0.25,0.5,0.266,0.268,0.3015,0.31200000000000006
40,4.0,0.0,0.24350000000000005,0.5,0.254,0.27649999999999997,0.2965,0.31899999999999995
41,4.0,1.0,0.252,0.5,0.243,0.27,0.3005,0.3135
42,4.0,2.0,0.25,0.5,0.255,0.27649999999999997,0.2995,0.3215
43,4.0,3.0,0.24,0.5,0.256,0.266,0.3185,0.30700000000000005
44,4.0,4.0,0.246,0.5,0.248,0.273,0.31200000000000006,0.31499999999999995
45,4.0,5.0,0.25249999999999995,0.5,0.23650000000000004,0.26549999999999996,0.30600000000000005,0.3115
46,4.0,6.0,0.24650000000000005,0.5,0.242,0.267,0.30100000000000005,0.3085
47,4.0,7.0,0.24750000000000005,0.5,0.23850000000000005,0.27249999999999996,0.3035,0.31200000000000006
48,4.0,8.0,0.242,0.5,0.25049999999999994,0.277,0.31499999999999995,0.3145
49,4.0,9.0,0.24450000000000005,0.5,0.246,0.272,0.31799999999999995,0.32699999999999996
50,5.0,0.0,0.24250000000000005,0.5,0.244,0.27749999999999997,0.31100000000000005,0.3025
51,5.0,1.0,0.241,0.5,0.244,0.27549999999999997,0.29400000000000004,0.3035
52,5.0,2.0,0.23399999999999999,0.5,0.246,0.26449999999999996,0.3035,0.3115
53,5.0,3.0,0.22799999999999998,0.5,0.24950000000000006,0.27649999999999997,0.29800000000000004,0.30800000000000005
54,5.0,4.0,0.24250000000000005,0.5,0.23950000000000005,0.271,0.29900000000000004,0.3095
55,5.0,5.0,0.22999999999999998,0.5,0.23099999999999998,0.27149999999999996,0.30000000000000004,0.30400000000000005
56,5.0,6.0,0.22499999999999998,0.5,0.245,0.279,0.29500000000000004,0.30700000000000005
57,5.0,7.0,0.22599999999999998,0.5,0.25349999999999995,0.259,0.2895,0.30500000000000005
58,5.0,8.0,0.23050000000000004,0.5,0.244,0.28200000000000003,0.29400000000000004,0.29100000000000004
59,5.0,9.0,0.22499999999999998,0.5,0.24650000000000005,0.272,0.3005,0.2955
60,10.0,0.0,0.21750000000000003,0.5,0.241,0.262,0.2935,0.3075
61,10.0,1.0,0.21699999999999997,0.5,0.23099999999999998,0.26549999999999996,0.29300000000000004,0.3065
62,10.0,2.0,0.22099999999999997,0.5,0.23050000000000004,0.25,0.30000000000000004,0.3065
63,10.0,3.0,0.21599999999999997,0.5,0.23750000000000004,0.25649999999999995,0.29700000000000004,0.31100000000000005
64,10.0,4.0,0.21850000000000003,0.5,0.22399999999999998,0.273,0.29000000000000004,0.3055
65,10.0,5.0,0.22950000000000004,0.5,0.22650000000000003,0.268,0.2995,0.30800000000000005
66,10.0,6.0,0.22950000000000004,0.5,0.23950000000000005,0.26949999999999996,0.30000000000000004,0.31699999999999995
67,10.0,7.0,0.22350000000000003,0.5,0.22999999999999998,0.275,0.30300000000000005,0.31299999999999994
68,10.0,8.0,0.22599999999999998,0.5,0.23350000000000004,0.27549999999999997,0.2975,0.31200000000000006
69,10.0,9.0,0.21999999999999997,0.5,0.22750000000000004,0.26349999999999996,0.2875,0.3075
70,20.0,0.0,0.19399999999999995,0.5,0.20199999999999996,0.24750000000000005,0.3005,0.31799999999999995
71,20.0,1.0,0.20699999999999996,0.5,0.22250000000000003,0.257,0.2895,0.3165
72,20.0,2.0,0.20799999999999996,0.5,0.20550000000000002,0.259,0.3015,0.32499999999999996
73,20.0,3.0,0.20850000000000002,0.5,0.1975,0.25,0.3015,0.31599999999999995
74,20.0,4.0,0.20399999999999996,0.5,0.21299999999999997,0.25549999999999995,0.29800000000000004,0.3145
75,20.0,5.0,0.20850000000000002,0.5,0.21299999999999997,0.26249999999999996,0.29400000000000004,0.31100000000000005
76,20.0,6.0,0.21599999999999997,0.5,0.21050000000000002,0.25549999999999995,0.2955,0.3235
77,20.0,7.0,0.20499999999999996,0.5,0.21650000000000003,0.265,0.2925,0.32599999999999996
78,20.0,8.0,0.19899999999999995,0.5,0.20750000000000002,0.243,0.30200000000000005,0.3315
79,20.0,9.0,0.19499999999999995,0.5,0.21350000000000002,0.24950000000000006,0.29500000000000004,0.3085
