,m,r,0,0_alpha,10,10_alpha,45,45_alpha,90,90_alpha,135,135_alpha
70,50.0,0.0,0.16349999999999998,,0.1745,,0.25349999999999995,,0.29400000000000004,,0.32199999999999995,
71,50.0,1.0,0.16600000000000004,,0.1805,,0.249,,0.30000000000000004,,0.33299999999999996,
72,50.0,2.0,0.16100000000000003,,0.16900000000000004,,0.25049999999999994,,0.30500000000000005,,0.355,
73,50.0,3.0,0.16949999999999998,,0.18400000000000005,,0.257,,0.29200000000000004,,0.32499999999999996,
74,50.0,4.0,0.16000000000000003,,0.17600000000000005,,0.25749999999999995,,0.2955,,0.33999999999999997,
75,50.0,5.0,0.16300000000000003,,0.1745,,0.25949999999999995,,0.30500000000000005,,0.33599999999999997,
76,50.0,6.0,0.16300000000000003,,0.1855,,0.26449999999999996,,0.2955,,0.33299999999999996,
77,50.0,7.0,0.17100000000000004,,0.16100000000000003,,0.263,,0.30100000000000005,,0.347,
78,50.0,8.0,0.1735,,0.16549999999999998,,0.25,,0.29600000000000004,,0.33799999999999997,
79,50.0,9.0,0.16700000000000004,,0.18000000000000005,,0.23650000000000004,,0.30100000000000005,,0.33599999999999997,
