,summary,config,name
10,"{'_wandb': {'runtime': 150}, 'avg_err': 0.2368, 'run_num': 2, 'std_err': 0.0151, '_runtime': 151.87342190742493, 'train_acc': 0.815, '_timestamp': 1661082811.684345, 'final_test_err': 0.23750000000000004, '_step': 303, 'epoch': 100, 'train_loss': 0.423}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '04_rho/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 3, 'seed': 10, 'task': {'n': 50, 'm_n': 1, 'ood': [2], 'beta': 'unbiased', 'target': 4, 'augment': False, 'dataset': 'split_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",1x9v2zz8
11,"{'epoch': 100, '_wandb': {'runtime': 142}, 'avg_err': 0.2413, 'run_num': 2, 'std_err': 0.0178, '_runtime': 143.29599332809448, 'train_acc': 0.83, '_step': 303, 'train_loss': 0.4221, 'final_test_err': 0.21850000000000003, '_timestamp': 1661082797.0945904}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '04_rho/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 3, 'seed': 10, 'task': {'n': 50, 'm_n': 0, 'ood': [2], 'beta': 'unbiased', 'target': 4, 'augment': False, 'dataset': 'split_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",3qnpaiv7
12,"{'train_loss': 0.3105, 'avg_err': 0.2437, 'std_err': 0.0118, '_runtime': 206.27036237716675, 'run_num': 2, 'train_acc': 0.91, '_timestamp': 1661082832.4179904, 'final_test_err': 0.251, '_step': 303, 'epoch': 100, '_wandb': {'runtime': 205}}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '04_rho/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 3, 'seed': 10, 'task': {'n': 50, 'm_n': 3, 'ood': [1], 'beta': 'unbiased', 'target': 4, 'augment': False, 'dataset': 'split_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",3o7hcqk9
13,"{'std_err': 0.008, 'train_acc': 0.87, '_timestamp': 1661082777.9863572, 'train_loss': 0.3898, 'run_num': 2, '_runtime': 156.0610122680664, 'final_test_err': 0.23850000000000005, '_step': 303, 'epoch': 100, '_wandb': {'runtime': 155}, 'avg_err': 0.2292}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '04_rho/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 3, 'seed': 10, 'task': {'n': 50, 'm_n': 2, 'ood': [1], 'beta': 'unbiased', 'target': 4, 'augment': False, 'dataset': 'split_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",1jufu0no
14,"{'_runtime': 154.2318298816681, 'train_acc': 0.835, '_step': 303, 'std_err': 0.0039, 'avg_err': 0.2285, 'run_num': 2, '_timestamp': 1661082765.522914, 'train_loss': 0.4476, 'final_test_err': 0.224, 'epoch': 100, '_wandb': {'runtime': 153}}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '04_rho/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 3, 'seed': 10, 'task': {'n': 50, 'm_n': 1, 'ood': [1], 'beta': 'unbiased', 'target': 4, 'augment': False, 'dataset': 'split_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",hs1mrwyu
15,"{'run_num': 2, 'std_err': 0.0178, 'final_test_err': 0.21850000000000003, 'train_loss': 0.4221, '_step': 303, 'epoch': 100, '_wandb': {'runtime': 135}, 'avg_err': 0.2413, '_runtime': 135.98086619377136, 'train_acc': 0.83, '_timestamp': 1661082721.1363802}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '04_rho/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 3, 'seed': 10, 'task': {'n': 50, 'm_n': 0, 'ood': [1], 'beta': 'unbiased', 'target': 4, 'augment': False, 'dataset': 'split_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",2eiqiahb
16,"{'_step': 303, 'epoch': 100, '_runtime': 201.48957061767575, 'train_acc': 0.96, 'train_loss': 0.1535, '_wandb': {'runtime': 200}, 'avg_err': 0.1998, 'run_num': 2, 'std_err': 0.0164, '_timestamp': 1661082772.2374256, 'final_test_err': 0.17800000000000005}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '04_rho/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 3, 'seed': 10, 'task': {'n': 50, 'm_n': 3, 'ood': [0], 'beta': 'unbiased', 'target': 4, 'augment': False, 'dataset': 'split_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",2jb3gzbx
17,"{'std_err': 0.0144, '_runtime': 154.91717314720154, '_timestamp': 1661082705.2120802, 'train_loss': 0.1992, '_step': 303, 'epoch': 100, '_wandb': {'runtime': 153}, 'avg_err': 0.2002, 'run_num': 2, 'train_acc': 0.9433, 'final_test_err': 0.1865}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '04_rho/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 3, 'seed': 10, 'task': {'n': 50, 'm_n': 2, 'ood': [0], 'beta': 'unbiased', 'target': 4, 'augment': False, 'dataset': 'split_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",1syuy1fk
18,"{'avg_err': 0.2078, 'run_num': 2, 'std_err': 0.0123, '_timestamp': 1661082698.3811958, 'final_test_err': 0.19199999999999995, '_wandb': {'runtime': 151}, 'epoch': 100, '_runtime': 153.6747167110443, 'train_acc': 0.91, 'train_loss': 0.2818, '_step': 303}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '04_rho/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 3, 'seed': 10, 'task': {'n': 50, 'm_n': 1, 'ood': [0], 'beta': 'unbiased', 'target': 4, 'augment': False, 'dataset': 'split_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",loqs4r28
19,"{'_wandb': {'runtime': 132}, 'run_num': 2, 'std_err': 0.0178, 'train_acc': 0.83, '_timestamp': 1661082674.8655622, 'final_test_err': 0.21850000000000003, 'epoch': 100, 'avg_err': 0.2413, '_runtime': 133.46301913261414, 'train_loss': 0.4221, '_step': 303}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '04_rho/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 3, 'seed': 10, 'task': {'n': 50, 'm_n': 0, 'ood': [0], 'beta': 'unbiased', 'target': 4, 'augment': False, 'dataset': 'split_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",1sw1tify
