{'deploy': True, 'tag': '05_ood/04_domain_alpha_t', 'seed': 10, 'device': 'cuda:0', 'reps': 10, 'loss': {'alpha': 0.5, 'tune_alpha': True, 'group_task_loss': True}, 'task': {'dataset': 'domain_net', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target': 0, 'ood': [4], 'augment': False, 'n': 100, 'm_n': 0.5, 'beta': 0.5, 'custom_sampler': False, 'm_cinic': 1, 'm_cinic_neg': 0.0}, 'hp': {'epochs': 100, 'bs': 16, 'lr': 0.01}, 'net': 'conv'}
Files already downloaded and verified
Files already downloaded and verified
{'epoch': 1, 'train_loss': 1.0516, 'train_acc': 0.5567, 'task_loss': (0.0955, 0.9561)}
{'epoch': 2, 'train_loss': 0.9717, 'train_acc': 0.6133, 'task_loss': (0.1108, 0.8609)}
{'epoch': 3, 'train_loss': 0.6111, 'train_acc': 0.6833, 'task_loss': (0.1176, 0.4935)}
{'epoch': 4, 'train_loss': 0.96, 'train_acc': 0.6867, 'task_loss': (0.1108, 0.8492)}
{'epoch': 5, 'train_loss': 0.4, 'train_acc': 0.7833, 'task_loss': (0.0628, 0.3372)}
{'epoch': 6, 'train_loss': 0.4017, 'train_acc': 0.7867, 'task_loss': (0.0761, 0.3256)}
{'epoch': 7, 'train_loss': 0.1575, 'train_acc': 0.8267, 'task_loss': (0.0498, 0.1077)}
{'epoch': 8, 'train_loss': 0.185, 'train_acc': 0.8367, 'task_loss': (0.0432, 0.1418)}
{'epoch': 9, 'train_loss': 0.1104, 'train_acc': 0.8833, 'task_loss': (0.0439, 0.0665)}
{'epoch': 10, 'train_loss': 0.1007, 'train_acc': 0.8767, 'task_loss': (0.0401, 0.0607)}
{'epoch': 11, 'train_loss': 0.0816, 'train_acc': 0.9267, 'task_loss': (0.0311, 0.0505)}
{'epoch': 12, 'train_loss': 0.0578, 'train_acc': 0.9133, 'task_loss': (0.0363, 0.0215)}
{'epoch': 13, 'train_loss': 0.0223, 'train_acc': 0.9467, 'task_loss': (0.0163, 0.006)}
{'epoch': 14, 'train_loss': 0.0325, 'train_acc': 0.9467, 'task_loss': (0.0154, 0.0171)}
{'epoch': 15, 'train_loss': 0.027, 'train_acc': 0.9567, 'task_loss': (0.0138, 0.0132)}
{'epoch': 16, 'train_loss': 0.016, 'train_acc': 0.9767, 'task_loss': (0.0105, 0.0055)}
{'epoch': 17, 'train_loss': 0.0095, 'train_acc': 0.9833, 'task_loss': (0.0073, 0.0022)}
{'epoch': 18, 'train_loss': 0.0074, 'train_acc': 0.99, 'task_loss': (0.0053, 0.002)}
{'epoch': 19, 'train_loss': 0.0065, 'train_acc': 0.9967, 'task_loss': (0.0035, 0.003)}
{'epoch': 20, 'train_loss': 0.0057, 'train_acc': 0.9967, 'task_loss': (0.0043, 0.0014)}
{'epoch': 21, 'train_loss': 0.0052, 'train_acc': 0.9933, 'task_loss': (0.0038, 0.0014)}
