,m,r,2,3,4
0,0.0,0.0,0.19199999999999995,0.1875,0.20350000000000001
1,0.0,1.0,0.17300000000000004,0.1935,0.18700000000000006
2,0.0,2.0,0.1775,0.18700000000000006,0.1785
3,0.0,3.0,0.1855,0.1745,0.16849999999999998
4,0.0,4.0,0.20599999999999996,0.19099999999999995,0.20299999999999996
5,0.0,5.0,0.18799999999999994,0.20699999999999996,0.20550000000000002
6,0.0,6.0,0.18000000000000005,0.18500000000000005,0.1985
7,0.0,7.0,0.16549999999999998,0.19699999999999995,0.1885
8,0.0,8.0,0.18300000000000005,0.19099999999999995,0.19699999999999995
9,0.0,9.0,0.16600000000000004,0.17149999999999999,0.1735
10,1.0,0.0,0.23299999999999998,0.21350000000000002,0.261
11,1.0,1.0,0.20399999999999996,0.1985,0.271
12,1.0,2.0,0.21199999999999997,0.19299999999999995,0.24050000000000005
13,1.0,3.0,0.21450000000000002,0.20399999999999996,0.24450000000000005
14,1.0,4.0,0.22099999999999997,0.2015,0.265
15,1.0,5.0,0.1905,0.1875,0.24650000000000005
16,1.0,6.0,0.20999999999999996,0.20399999999999996,0.272
17,1.0,7.0,0.22799999999999998,0.19799999999999995,0.25549999999999995
18,1.0,8.0,0.21950000000000003,0.19599999999999995,0.25549999999999995
19,1.0,9.0,0.21750000000000003,0.19499999999999995,0.23450000000000004
20,2.0,0.0,0.23850000000000005,0.21099999999999997,0.265
21,2.0,1.0,0.22999999999999998,0.253,0.253
22,2.0,2.0,0.21699999999999997,0.22050000000000003,0.265
23,2.0,3.0,0.22650000000000003,0.22350000000000003,0.254
24,2.0,4.0,0.237,0.22699999999999998,0.27549999999999997
25,2.0,5.0,0.21450000000000002,0.21450000000000002,0.28
26,2.0,6.0,0.22250000000000003,0.24150000000000005,0.26149999999999995
27,2.0,7.0,0.22999999999999998,0.21499999999999997,0.26549999999999996
28,2.0,8.0,0.22550000000000003,0.22199999999999998,0.26049999999999995
29,2.0,9.0,0.22299999999999998,0.22750000000000004,0.25649999999999995
30,3.0,0.0,0.21699999999999997,0.21499999999999997,0.2945
31,3.0,1.0,0.21050000000000002,0.22050000000000003,0.2865
32,3.0,2.0,0.21350000000000002,0.21499999999999997,0.28
33,3.0,3.0,0.21299999999999997,0.22799999999999998,0.26249999999999996
34,3.0,4.0,0.23250000000000004,0.22099999999999997,0.27349999999999997
35,3.0,5.0,0.22299999999999998,0.21399999999999997,0.28500000000000003
36,3.0,6.0,0.22899999999999998,0.21399999999999997,0.267
37,3.0,7.0,0.22150000000000003,0.22450000000000003,0.27
38,3.0,8.0,0.22999999999999998,0.20950000000000002,0.2945
39,3.0,9.0,0.23950000000000005,0.21550000000000002,0.2825
40,4.0,0.0,0.23650000000000004,0.241,0.27449999999999997
41,4.0,1.0,0.24350000000000005,0.235,0.29700000000000004
42,4.0,2.0,0.22799999999999998,0.22750000000000004,0.2995
43,4.0,3.0,0.22499999999999998,0.22699999999999998,0.31299999999999994
44,4.0,4.0,0.23199999999999998,0.21750000000000003,0.28900000000000003
45,4.0,5.0,0.23750000000000004,0.23750000000000004,0.28900000000000003
46,4.0,6.0,0.23250000000000004,0.24450000000000005,0.2945
47,4.0,7.0,0.24250000000000005,0.25249999999999995,0.29400000000000004
48,4.0,8.0,0.22299999999999998,0.244,0.2975
49,4.0,9.0,0.249,0.23750000000000004,0.28
50,5.0,0.0,0.245,0.249,0.3025
51,5.0,1.0,0.23150000000000004,0.24,0.2855
52,5.0,2.0,0.254,0.24850000000000005,0.3045
53,5.0,3.0,0.242,0.25449999999999995,0.28400000000000003
54,5.0,4.0,0.23850000000000005,0.22450000000000003,0.28800000000000003
55,5.0,5.0,0.245,0.24350000000000005,0.3145
56,5.0,6.0,0.238,0.254,0.3065
57,5.0,7.0,0.22950000000000004,0.24050000000000005,0.3195
58,5.0,8.0,0.22599999999999998,0.242,0.31799999999999995
59,5.0,9.0,0.25549999999999995,0.23250000000000004,0.30500000000000005
60,10.0,0.0,0.26849999999999996,0.25049999999999994,0.346
61,10.0,1.0,0.26749999999999996,0.23750000000000004,0.347
62,10.0,2.0,0.26149999999999995,0.23850000000000005,0.35350000000000004
63,10.0,3.0,0.2875,0.244,0.32899999999999996
64,10.0,4.0,0.27949999999999997,0.22999999999999998,0.34199999999999997
65,10.0,5.0,0.2815,0.238,0.36
66,10.0,6.0,0.28800000000000003,0.23299999999999998,0.3405
67,10.0,7.0,0.2895,0.241,0.356
68,10.0,8.0,0.27849999999999997,0.24450000000000005,0.32199999999999995
69,10.0,9.0,0.267,0.23350000000000004,0.34750000000000003
70,20.0,0.0,0.2975,0.23650000000000004,0.35950000000000004
71,20.0,1.0,0.28700000000000003,0.262,0.33399999999999996
72,20.0,2.0,0.2905,0.25549999999999995,0.367
73,20.0,3.0,0.2985,0.27149999999999996,0.3435
74,20.0,4.0,0.28,0.251,0.33799999999999997
75,20.0,5.0,0.29700000000000004,0.25649999999999995,0.33099999999999996
76,20.0,6.0,0.30500000000000005,0.24,0.37
77,20.0,7.0,0.2855,0.258,0.35950000000000004
78,20.0,8.0,0.29200000000000004,0.239,0.353
79,20.0,9.0,0.2855,0.25849999999999995,0.344
80,30.0,0.0,0.29500000000000004,0.26149999999999995,0.37050000000000005
81,30.0,1.0,0.3115,0.26549999999999996,0.36150000000000004
82,30.0,2.0,0.31599999999999995,0.26449999999999996,0.359
83,30.0,3.0,0.32799999999999996,0.26149999999999995,0.376
84,30.0,4.0,0.30300000000000005,0.26349999999999996,0.38
85,30.0,5.0,0.3125,0.26649999999999996,0.364
86,30.0,6.0,0.30300000000000005,0.27049999999999996,0.383
87,30.0,7.0,0.30300000000000005,0.25849999999999995,0.382
88,30.0,8.0,0.3195,0.26749999999999996,0.361
89,30.0,9.0,0.3285,0.26549999999999996,0.37050000000000005
90,40.0,0.0,0.3205,0.262,0.391
91,40.0,1.0,0.30000000000000004,0.25349999999999995,0.40049999999999997
92,40.0,2.0,0.2985,0.26349999999999996,0.383
93,40.0,3.0,0.30600000000000005,0.28300000000000003,0.403
94,40.0,4.0,0.33299999999999996,0.2835,0.391
95,40.0,5.0,0.3075,0.276,0.389
96,40.0,6.0,0.3115,0.269,0.37250000000000005
97,40.0,7.0,0.3205,0.25549999999999995,0.37749999999999995
98,40.0,8.0,0.32099999999999995,0.281,0.36950000000000005
99,40.0,9.0,0.30400000000000005,0.27349999999999997,0.38649999999999995
