,m,r,1,2,3,5
0,0.0,0.0,0.1995,0.21050000000000002,0.17000000000000004,0.18799999999999994
1,0.0,1.0,0.21050000000000002,0.20999999999999996,0.21999999999999997,0.19199999999999995
2,0.0,2.0,0.23950000000000005,0.20699999999999996,0.1955,0.19299999999999995
3,0.0,3.0,0.18600000000000005,0.18799999999999994,0.1725,0.1985
4,0.0,4.0,0.17700000000000005,0.18100000000000005,0.19099999999999995,0.21950000000000003
5,0.0,5.0,0.1745,0.17000000000000004,0.21099999999999997,0.24050000000000005
6,0.0,6.0,0.1735,0.1865,0.16100000000000003,0.18200000000000005
7,0.0,7.0,0.20899999999999996,0.21699999999999997,0.19199999999999995,0.18100000000000005
8,0.0,8.0,0.20550000000000002,0.1985,0.16449999999999998,0.20199999999999996
9,0.0,9.0,0.1875,0.1915,0.17600000000000005,0.18999999999999995
10,250.0,0.0,0.1805,0.16149999999999998,0.15549999999999997,0.19699999999999995
11,250.0,1.0,0.1885,0.18500000000000005,0.16600000000000004,0.22999999999999998
12,250.0,2.0,0.16949999999999998,0.15800000000000003,0.1925,0.17600000000000005
13,250.0,3.0,0.17600000000000005,0.16449999999999998,0.15100000000000002,0.18400000000000005
14,250.0,4.0,0.25049999999999994,0.15500000000000003,0.1965,0.20750000000000002
15,250.0,5.0,0.22399999999999998,0.17049999999999998,0.18899999999999995,0.18899999999999995
16,250.0,6.0,0.17600000000000005,0.17049999999999998,0.1815,0.1915
17,250.0,7.0,0.22999999999999998,0.1855,0.17800000000000005,0.1985
18,250.0,8.0,0.19399999999999995,0.14749999999999996,0.16149999999999998,0.20899999999999996
19,250.0,9.0,0.276,0.16749999999999998,0.1755,0.19199999999999995
20,500.0,0.0,0.18700000000000006,0.18799999999999994,0.18600000000000005,0.1805
21,500.0,1.0,0.21399999999999997,0.1785,0.14549999999999996,0.19899999999999995
22,500.0,2.0,0.16900000000000004,0.15549999999999997,0.14200000000000002,0.18600000000000005
23,500.0,3.0,0.20899999999999996,0.14349999999999996,0.16249999999999998,0.16249999999999998
24,500.0,4.0,0.18899999999999995,0.14300000000000002,0.17300000000000004,0.1975
25,500.0,5.0,0.18700000000000006,0.16549999999999998,0.14049999999999996,0.1865
26,500.0,6.0,0.20899999999999996,0.15149999999999997,0.14249999999999996,0.15249999999999997
27,500.0,7.0,0.17900000000000005,0.15300000000000002,0.1725,0.1955
28,500.0,8.0,0.1835,0.14600000000000002,0.15700000000000003,0.16849999999999998
29,500.0,9.0,0.1755,0.16600000000000004,0.15100000000000002,0.1885
30,750.0,0.0,0.18400000000000005,0.16400000000000003,0.15300000000000002,0.16249999999999998
31,750.0,1.0,0.21099999999999997,0.15200000000000002,0.16400000000000003,0.18600000000000005
32,750.0,2.0,0.1895,0.20499999999999996,0.15600000000000003,0.1775
33,750.0,3.0,0.19399999999999995,0.19099999999999995,0.12,0.18799999999999994
34,750.0,4.0,0.17300000000000004,0.15949999999999998,0.13049999999999995,0.17149999999999999
35,750.0,5.0,0.1815,0.14849999999999997,0.16500000000000004,0.1735
36,750.0,6.0,0.1755,0.19099999999999995,0.15849999999999997,0.1915
37,750.0,7.0,0.20350000000000001,0.15449999999999997,0.133,0.17300000000000004
38,750.0,8.0,0.1975,0.17200000000000004,0.14100000000000001,0.1945
39,750.0,9.0,0.16349999999999998,0.14949999999999997,0.11750000000000005,0.1895
40,1000.0,0.0,0.17149999999999999,0.16149999999999998,0.13449999999999995,0.20499999999999996
41,1000.0,1.0,0.19299999999999995,0.16449999999999998,0.14300000000000002,0.1985
42,1000.0,2.0,0.17300000000000004,0.16349999999999998,0.14149999999999996,0.19199999999999995
43,1000.0,3.0,0.1795,0.16749999999999998,0.13949999999999996,0.20550000000000002
44,1000.0,4.0,0.17600000000000005,0.16149999999999998,0.15400000000000003,0.16600000000000004
45,1000.0,5.0,0.17800000000000005,0.14549999999999996,0.14749999999999996,0.1805
46,1000.0,6.0,0.18500000000000005,0.16600000000000004,0.124,0.18899999999999995
47,1000.0,7.0,0.15549999999999997,0.16400000000000003,0.14400000000000002,0.24250000000000005
48,1000.0,8.0,0.15849999999999997,0.16249999999999998,0.15849999999999997,0.21950000000000003
49,1000.0,9.0,0.1855,0.15449999999999997,0.138,0.17300000000000004
50,1250.0,0.0,0.14249999999999996,0.17149999999999999,0.15000000000000002,0.15649999999999997
51,1250.0,1.0,0.15000000000000002,0.16200000000000003,0.139,0.15900000000000003
52,1250.0,2.0,0.15600000000000003,0.15000000000000002,0.15100000000000002,0.21699999999999997
53,1250.0,3.0,0.15449999999999997,0.18700000000000006,0.139,0.20299999999999996
54,1250.0,4.0,0.16500000000000004,0.1985,0.139,0.20599999999999996
55,1250.0,5.0,0.16900000000000004,0.14200000000000002,0.16400000000000003,0.18100000000000005
56,1250.0,6.0,0.17149999999999999,0.16849999999999998,0.128,0.18200000000000005
57,1250.0,7.0,0.16749999999999998,0.15600000000000003,0.12549999999999994,0.15400000000000003
58,1250.0,8.0,0.17100000000000004,0.133,0.126,0.1975
59,1250.0,9.0,0.15949999999999998,0.19499999999999995,0.13149999999999995,0.21399999999999997
60,1500.0,0.0,0.14949999999999997,0.17100000000000004,0.125,0.14749999999999996
61,1500.0,1.0,0.15600000000000003,0.17000000000000004,0.16249999999999998,0.1895
62,1500.0,2.0,0.16200000000000003,0.14949999999999997,0.17100000000000004,0.17500000000000004
63,1500.0,3.0,0.1735,0.16100000000000003,0.14400000000000002,0.17100000000000004
64,1500.0,4.0,0.14749999999999996,0.15800000000000003,0.14149999999999996,0.1805
65,1500.0,5.0,0.17100000000000004,0.17800000000000005,0.16649999999999998,0.16949999999999998
66,1500.0,6.0,0.14200000000000002,0.15649999999999997,0.17100000000000004,0.19399999999999995
67,1500.0,7.0,0.16500000000000004,0.17149999999999999,0.14649999999999996,0.1785
68,1500.0,8.0,0.15600000000000003,0.1735,0.14849999999999997,0.1945
69,1500.0,9.0,0.15449999999999997,0.1755,0.14500000000000002,0.17900000000000005
70,2000.0,0.0,0.16200000000000003,0.16600000000000004,0.14449999999999996,0.16300000000000003
71,2000.0,1.0,0.14800000000000002,0.19099999999999995,0.14800000000000002,0.241
72,2000.0,2.0,0.14649999999999996,0.15200000000000002,0.137,0.1755
73,2000.0,3.0,0.15749999999999997,0.16449999999999998,0.17000000000000004,0.17200000000000004
74,2000.0,4.0,0.15300000000000002,0.18999999999999995,0.119,0.17900000000000005
75,2000.0,5.0,0.1735,0.18300000000000005,0.15949999999999998,0.16549999999999998
76,2000.0,6.0,0.15800000000000003,0.1755,0.13049999999999995,0.20750000000000002
77,2000.0,7.0,0.16300000000000003,0.15849999999999997,0.16500000000000004,0.2005
78,2000.0,8.0,0.17400000000000004,0.15300000000000002,0.13249999999999995,0.2025
79,2000.0,9.0,0.16649999999999998,0.16549999999999998,0.16500000000000004,0.17300000000000004
80,3000.0,0.0,0.16149999999999998,0.17149999999999999,0.14400000000000002,0.20699999999999996
81,3000.0,1.0,0.16349999999999998,0.16949999999999998,0.14200000000000002,0.1795
82,3000.0,2.0,0.16700000000000004,0.18200000000000005,0.15349999999999997,0.16100000000000003
83,3000.0,3.0,0.1815,0.15449999999999997,0.14749999999999996,0.16000000000000003
84,3000.0,4.0,0.17100000000000004,0.1745,0.13949999999999996,0.17049999999999998
85,3000.0,5.0,0.17500000000000004,0.17000000000000004,0.13049999999999995,0.16349999999999998
86,3000.0,6.0,0.16200000000000003,0.1875,0.14400000000000002,0.22950000000000004
87,3000.0,7.0,0.17300000000000004,0.18400000000000005,0.14800000000000002,0.21750000000000003
88,3000.0,8.0,0.15449999999999997,0.1915,0.134,0.16549999999999998
89,3000.0,9.0,0.14549999999999996,0.16100000000000003,0.15300000000000002,0.23650000000000004
90,4000.0,0.0,0.129,0.16549999999999998,0.15600000000000003,0.1865
91,4000.0,1.0,0.14200000000000002,0.15100000000000002,0.13,0.18700000000000006
92,4000.0,2.0,0.15300000000000002,0.18300000000000005,0.13749999999999996,0.1925
93,4000.0,3.0,0.125,0.14400000000000002,0.15500000000000003,0.1985
94,4000.0,4.0,0.17000000000000004,0.16400000000000003,0.14649999999999996,0.14700000000000002
95,4000.0,5.0,0.15700000000000003,0.18400000000000005,0.14049999999999996,0.16100000000000003
96,4000.0,6.0,0.16100000000000003,0.16900000000000004,0.13149999999999995,0.1915
97,4000.0,7.0,0.14600000000000002,0.17049999999999998,0.16200000000000003,0.1945
98,4000.0,8.0,0.14749999999999996,0.15700000000000003,0.139,0.16749999999999998
99,4000.0,9.0,0.14349999999999996,0.16400000000000003,0.14249999999999996,0.20099999999999996
