,m,r,2,3,4
0,0.0,0.0,0.29600000000000004,0.344,0.27849999999999997
1,0.0,1.0,0.3175,0.32199999999999995,0.377
2,0.0,2.0,0.3415,0.2965,0.235
3,0.0,3.0,0.2985,0.3005,0.27849999999999997
4,0.0,4.0,0.28700000000000003,0.236,0.30900000000000005
5,0.0,5.0,0.34950000000000003,0.245,0.34299999999999997
6,0.0,6.0,0.365,0.29100000000000004,0.2945
7,0.0,7.0,0.2875,0.3305,0.30400000000000005
8,0.0,8.0,0.3085,0.37050000000000005,0.29200000000000004
9,0.0,9.0,0.37050000000000005,0.24550000000000005,0.3265
10,250.0,0.0,0.20899999999999996,0.18999999999999995,0.18000000000000005
11,250.0,1.0,0.19099999999999995,0.16449999999999998,0.235
12,250.0,2.0,0.1845,0.21350000000000002,0.20850000000000002
13,250.0,3.0,0.21099999999999997,0.25949999999999995,0.22299999999999998
14,250.0,4.0,0.21750000000000003,0.244,0.19799999999999995
15,250.0,5.0,0.257,0.21650000000000003,0.24250000000000005
16,250.0,6.0,0.19999999999999996,0.21250000000000002,0.24050000000000005
17,250.0,7.0,0.2005,0.20950000000000002,0.16200000000000003
18,250.0,8.0,0.1975,0.1965,0.2005
19,250.0,9.0,0.22250000000000003,0.1815,0.23399999999999999
20,500.0,0.0,0.14200000000000002,0.1955,0.21150000000000002
21,500.0,1.0,0.14549999999999996,0.18400000000000005,0.20399999999999996
22,500.0,2.0,0.15549999999999997,0.16400000000000003,0.21499999999999997
23,500.0,3.0,0.16900000000000004,0.1865,0.1815
24,500.0,4.0,0.14549999999999996,0.17900000000000005,0.245
25,500.0,5.0,0.14949999999999997,0.17200000000000004,0.20399999999999996
26,500.0,6.0,0.16149999999999998,0.1985,0.21250000000000002
27,500.0,7.0,0.17300000000000004,0.1765,0.20899999999999996
28,500.0,8.0,0.15500000000000003,0.20899999999999996,0.22750000000000004
29,500.0,9.0,0.1825,0.1795,0.23550000000000004
30,750.0,0.0,0.18500000000000005,0.18300000000000005,0.21350000000000002
31,750.0,1.0,0.17200000000000004,0.15200000000000002,0.19499999999999995
32,750.0,2.0,0.16400000000000003,0.1795,0.18899999999999995
33,750.0,3.0,0.14549999999999996,0.19199999999999995,0.1725
34,750.0,4.0,0.16100000000000003,0.1905,0.1915
35,750.0,5.0,0.17000000000000004,0.18500000000000005,0.23399999999999999
36,750.0,6.0,0.13649999999999995,0.18500000000000005,0.20899999999999996
37,750.0,7.0,0.1875,0.15300000000000002,0.2015
38,750.0,8.0,0.16049999999999998,0.16600000000000004,0.21899999999999997
39,750.0,9.0,0.1865,0.1885,0.22899999999999998
40,1000.0,0.0,0.1795,0.14700000000000002,0.1885
41,1000.0,1.0,0.16000000000000003,0.16200000000000003,0.15800000000000003
42,1000.0,2.0,0.134,0.18500000000000005,0.19299999999999995
43,1000.0,3.0,0.1735,0.1875,0.16100000000000003
44,1000.0,4.0,0.15400000000000003,0.15649999999999997,0.20299999999999996
45,1000.0,5.0,0.15100000000000002,0.15100000000000002,0.1995
46,1000.0,6.0,0.15849999999999997,0.16949999999999998,0.1945
47,1000.0,7.0,0.14200000000000002,0.1935,0.1845
48,1000.0,8.0,0.14200000000000002,0.16200000000000003,0.17600000000000005
49,1000.0,9.0,0.13949999999999996,0.18500000000000005,0.19099999999999995
50,1250.0,0.0,0.14749999999999996,0.17900000000000005,0.16049999999999998
51,1250.0,1.0,0.14649999999999996,0.14249999999999996,0.19899999999999995
52,1250.0,2.0,0.15049999999999997,0.138,0.18300000000000005
53,1250.0,3.0,0.16600000000000004,0.15749999999999997,0.18600000000000005
54,1250.0,4.0,0.16200000000000003,0.15449999999999997,0.18600000000000005
55,1250.0,5.0,0.13149999999999995,0.16949999999999998,0.18100000000000005
56,1250.0,6.0,0.14600000000000002,0.133,0.13649999999999995
57,1250.0,7.0,0.137,0.16549999999999998,0.1835
58,1250.0,8.0,0.12649999999999995,0.16900000000000004,0.15049999999999997
59,1250.0,9.0,0.132,0.17049999999999998,0.18100000000000005
60,1500.0,0.0,0.14049999999999996,0.126,0.16800000000000004
61,1500.0,1.0,0.16949999999999998,0.14600000000000002,0.1855
62,1500.0,2.0,0.12849999999999995,0.14100000000000001,0.15549999999999997
63,1500.0,3.0,0.13149999999999995,0.15149999999999997,0.15649999999999997
64,1500.0,4.0,0.12849999999999995,0.17100000000000004,0.17200000000000004
65,1500.0,5.0,0.15300000000000002,0.16649999999999998,0.1945
66,1500.0,6.0,0.15400000000000003,0.16000000000000003,0.15949999999999998
67,1500.0,7.0,0.16200000000000003,0.16500000000000004,0.20399999999999996
68,1500.0,8.0,0.15000000000000002,0.17149999999999999,0.17800000000000005
69,1500.0,9.0,0.13449999999999995,0.15800000000000003,0.16449999999999998
70,2000.0,0.0,0.14149999999999996,0.17049999999999998,0.17000000000000004
71,2000.0,1.0,0.127,0.15700000000000003,0.19799999999999995
72,2000.0,2.0,0.13049999999999995,0.16249999999999998,0.1925
73,2000.0,3.0,0.15849999999999997,0.17700000000000005,0.15200000000000002
74,2000.0,4.0,0.126,0.15000000000000002,0.1775
75,2000.0,5.0,0.14800000000000002,0.16549999999999998,0.18300000000000005
76,2000.0,6.0,0.13849999999999996,0.15249999999999997,0.17049999999999998
77,2000.0,7.0,0.13749999999999996,0.15500000000000003,0.16749999999999998
78,2000.0,8.0,0.132,0.14500000000000002,0.21950000000000003
79,2000.0,9.0,0.135,0.15349999999999997,0.1755
80,3000.0,0.0,0.13349999999999995,0.20299999999999996,0.16049999999999998
81,3000.0,1.0,0.12549999999999994,0.1755,0.12150000000000005
82,3000.0,2.0,0.13149999999999995,0.16149999999999998,0.14649999999999996
83,3000.0,3.0,0.12250000000000005,0.18600000000000005,0.13749999999999996
84,3000.0,4.0,0.13449999999999995,0.16049999999999998,0.16500000000000004
85,3000.0,5.0,0.134,0.16049999999999998,0.1795
86,3000.0,6.0,0.13349999999999995,0.16700000000000004,0.1795
87,3000.0,7.0,0.15000000000000002,0.16049999999999998,0.14549999999999996
88,3000.0,8.0,0.14400000000000002,0.14,0.14900000000000002
89,3000.0,9.0,0.14149999999999996,0.17200000000000004,0.17600000000000005
