,m,r,1,2
0,0.0,0.0,0.3145,0.3115
1,0.0,1.0,0.30100000000000005,0.349
2,0.0,2.0,0.34299999999999997,0.3235
3,0.0,3.0,0.3435,0.26149999999999995
4,0.0,4.0,0.3355,0.29300000000000004
5,0.0,5.0,0.31699999999999995,0.27549999999999997
6,0.0,6.0,0.3025,0.3135
7,0.0,7.0,0.3145,0.31999999999999995
8,0.0,8.0,0.348,0.32599999999999996
9,0.0,9.0,0.32099999999999995,0.3325
10,250.0,0.0,0.3235,0.3105
11,250.0,1.0,0.35450000000000004,0.28500000000000003
12,250.0,2.0,0.2995,0.3135
13,250.0,3.0,0.2985,0.32099999999999995
14,250.0,4.0,0.3325,0.33999999999999997
15,250.0,5.0,0.3355,0.3355
16,250.0,6.0,0.3145,0.29400000000000004
17,250.0,7.0,0.347,0.30700000000000005
18,250.0,8.0,0.3225,0.30600000000000005
19,250.0,9.0,0.362,0.2935
20,500.0,0.0,0.3095,0.30600000000000005
21,500.0,1.0,0.3225,0.272
22,500.0,2.0,0.32399999999999995,0.271
23,500.0,3.0,0.2865,0.2885
24,500.0,4.0,0.3125,0.26849999999999996
25,500.0,5.0,0.3265,0.26949999999999996
26,500.0,6.0,0.31399999999999995,0.2825
27,500.0,7.0,0.33099999999999996,0.262
28,500.0,8.0,0.3105,0.28600000000000003
29,500.0,9.0,0.2925,0.277
30,750.0,0.0,0.25949999999999995,0.27349999999999997
31,750.0,1.0,0.3035,0.28600000000000003
32,750.0,2.0,0.2825,0.2845
33,750.0,3.0,0.28400000000000003,0.27249999999999996
34,750.0,4.0,0.3365,0.2975
35,750.0,5.0,0.279,0.261
36,750.0,6.0,0.25549999999999995,0.27149999999999996
37,750.0,7.0,0.27849999999999997,0.24750000000000005
38,750.0,8.0,0.31599999999999995,0.26749999999999996
39,750.0,9.0,0.2915,0.2905
40,1000.0,0.0,0.279,0.2945
41,1000.0,1.0,0.27549999999999997,0.2855
42,1000.0,2.0,0.2835,0.27049999999999996
43,1000.0,3.0,0.30000000000000004,0.279
44,1000.0,4.0,0.28200000000000003,0.25849999999999995
45,1000.0,5.0,0.28600000000000003,0.25349999999999995
46,1000.0,6.0,0.274,0.269
47,1000.0,7.0,0.27049999999999996,0.30000000000000004
48,1000.0,8.0,0.2935,0.24750000000000005
49,1000.0,9.0,0.26349999999999996,0.29400000000000004
50,1250.0,0.0,0.3085,0.25749999999999995
51,1250.0,1.0,0.26549999999999996,0.235
52,1250.0,2.0,0.26649999999999996,0.248
53,1250.0,3.0,0.2825,0.26849999999999996
54,1250.0,4.0,0.26849999999999996,0.23850000000000005
55,1250.0,5.0,0.27049999999999996,0.255
56,1250.0,6.0,0.3075,0.3045
57,1250.0,7.0,0.2815,0.25449999999999995
58,1250.0,8.0,0.32099999999999995,0.251
59,1250.0,9.0,0.2915,0.24750000000000005
60,1500.0,0.0,0.2905,0.252
61,1500.0,1.0,0.28800000000000003,0.268
62,1500.0,2.0,0.30600000000000005,0.24050000000000005
63,1500.0,3.0,0.275,0.244
64,1500.0,4.0,0.26949999999999996,0.24650000000000005
65,1500.0,5.0,0.2825,0.25049999999999994
66,1500.0,6.0,0.275,0.265
67,1500.0,7.0,0.263,0.238
68,1500.0,8.0,0.29800000000000004,0.23750000000000004
69,1500.0,9.0,0.27549999999999997,0.26249999999999996
70,2000.0,0.0,0.255,0.25749999999999995
71,2000.0,1.0,0.29300000000000004,0.24450000000000005
72,2000.0,2.0,0.272,0.21799999999999997
73,2000.0,3.0,0.3105,0.236
74,2000.0,4.0,0.2835,0.245
75,2000.0,5.0,0.265,0.23099999999999998
76,2000.0,6.0,0.26149999999999995,0.246
77,2000.0,7.0,0.30800000000000005,0.238
78,2000.0,8.0,0.27949999999999997,0.256
79,2000.0,9.0,0.27249999999999996,0.21399999999999997
80,3000.0,0.0,0.24650000000000005,0.254
81,3000.0,1.0,0.261,0.22550000000000003
82,3000.0,2.0,0.23650000000000004,0.244
83,3000.0,3.0,0.245,0.21999999999999997
84,3000.0,4.0,0.253,0.21399999999999997
85,3000.0,5.0,0.26449999999999996,0.22699999999999998
86,3000.0,6.0,0.242,0.21599999999999997
87,3000.0,7.0,0.255,0.23150000000000004
88,3000.0,8.0,0.23950000000000005,0.21999999999999997
89,3000.0,9.0,0.26949999999999996,0.22899999999999998
90,4000.0,0.0,0.24950000000000006,0.20699999999999996
91,4000.0,1.0,0.26849999999999996,0.20899999999999996
92,4000.0,2.0,0.26649999999999996,0.2005
93,4000.0,3.0,0.26,0.21050000000000002
94,4000.0,4.0,0.23299999999999998,0.21150000000000002
95,4000.0,5.0,0.243,0.1915
96,4000.0,6.0,0.28049999999999997,0.20699999999999996
97,4000.0,7.0,0.264,0.21299999999999997
98,4000.0,8.0,0.23950000000000005,0.237
99,4000.0,9.0,0.277,0.22199999999999998
