,m,r,135,135_alpha
0,0.0,0.0,0.3275,0.5
1,0.0,1.0,0.3435,0.5
2,0.0,2.0,0.32099999999999995,0.5
3,0.0,3.0,0.3345,0.5
4,0.0,4.0,0.3155,0.5
5,0.0,5.0,0.33799999999999997,0.5
6,0.0,6.0,0.32599999999999996,0.5
7,0.0,7.0,0.3285,0.5
8,0.0,8.0,0.33499999999999996,0.5
9,0.0,9.0,0.32899999999999996,0.5
10,3.0,0.0,0.29700000000000004,0.917
11,3.0,1.0,0.3085,0.917
12,3.0,2.0,0.3175,0.917
13,3.0,3.0,0.31200000000000006,0.917
14,3.0,4.0,0.3155,0.917
15,3.0,5.0,0.30300000000000005,0.917
16,3.0,6.0,0.30500000000000005,0.917
17,3.0,7.0,0.3065,0.917
18,3.0,8.0,0.3205,0.917
19,3.0,9.0,0.2995,0.917
20,5.0,0.0,0.31000000000000005,0.903
21,5.0,1.0,0.2905,0.903
22,5.0,2.0,0.31100000000000005,0.903
23,5.0,3.0,0.2935,0.903
24,5.0,4.0,0.29600000000000004,0.903
25,5.0,5.0,0.3015,0.903
26,5.0,6.0,0.30400000000000005,0.903
27,5.0,7.0,0.30500000000000005,0.903
28,5.0,8.0,0.3035,0.903
29,5.0,9.0,0.3075,0.903
30,10.0,0.0,0.30100000000000005,0.9380000000000001
31,10.0,1.0,0.31200000000000006,0.9380000000000001
32,10.0,2.0,0.31000000000000005,0.9380000000000001
33,10.0,3.0,0.2875,0.9380000000000001
34,10.0,4.0,0.30800000000000005,0.9380000000000001
35,10.0,5.0,0.31000000000000005,0.9380000000000001
36,10.0,6.0,0.3085,0.9380000000000001
37,10.0,7.0,0.30700000000000005,0.9380000000000001
38,10.0,8.0,0.30500000000000005,0.9380000000000001
39,10.0,9.0,0.30200000000000005,0.9380000000000001
40,20.0,0.0,0.2905,0.9950000000000001
41,20.0,1.0,0.2945,0.9950000000000001
42,20.0,2.0,0.281,0.9950000000000001
43,20.0,3.0,0.3105,0.9950000000000001
44,20.0,4.0,0.29700000000000004,0.9950000000000001
45,20.0,5.0,0.3025,0.9950000000000001
46,20.0,6.0,0.3015,0.9950000000000001
47,20.0,7.0,0.3015,0.9950000000000001
48,20.0,8.0,0.3055,0.9950000000000001
49,20.0,9.0,0.29300000000000004,0.9950000000000001
50,30.0,0.0,0.29700000000000004,0.926
51,30.0,1.0,0.3165,0.926
52,30.0,2.0,0.30800000000000005,0.926
53,30.0,3.0,0.3095,0.926
54,30.0,4.0,0.3005,0.926
55,30.0,5.0,0.3115,0.926
56,30.0,6.0,0.3045,0.926
57,30.0,7.0,0.3165,0.926
58,30.0,8.0,0.28300000000000003,0.926
59,30.0,9.0,0.30800000000000005,0.926
60,40.0,0.0,0.3045,0.9980000000000001
61,40.0,1.0,0.29800000000000004,0.9980000000000001
62,40.0,2.0,0.3065,0.9980000000000001
63,40.0,3.0,0.29200000000000004,0.9980000000000001
64,40.0,4.0,0.29900000000000004,0.9980000000000001
65,40.0,5.0,0.29600000000000004,0.9980000000000001
66,40.0,6.0,0.2935,0.9980000000000001
67,40.0,7.0,0.2955,0.9980000000000001
68,40.0,8.0,0.30200000000000005,0.9980000000000001
69,40.0,9.0,0.31200000000000006,0.9980000000000001
70,50.0,0.0,0.29900000000000004,0.9880000000000001
71,50.0,1.0,0.31100000000000005,0.9880000000000001
72,50.0,2.0,0.30500000000000005,0.9880000000000001
73,50.0,3.0,0.3005,0.9880000000000001
74,50.0,4.0,0.31699999999999995,0.9880000000000001
75,50.0,5.0,0.3215,0.9880000000000001
76,50.0,6.0,0.2975,0.9880000000000001
77,50.0,7.0,0.29900000000000004,0.9880000000000001
78,50.0,8.0,0.30500000000000005,0.9880000000000001
79,50.0,9.0,0.30600000000000005,0.9880000000000001
