,m,r,2,3,4,5
0,0.0,0.0,0.22299999999999998,0.22499999999999998,0.23650000000000004,0.21550000000000002
1,0.0,1.0,0.21950000000000003,0.241,0.22550000000000003,0.2915
2,0.0,2.0,0.249,0.242,0.26149999999999995,0.251
3,0.0,3.0,0.25449999999999995,0.235,0.249,0.25149999999999995
4,0.0,4.0,0.2935,0.19499999999999995,0.24450000000000005,0.2015
5,0.0,5.0,0.32499999999999996,0.25549999999999995,0.21699999999999997,0.30700000000000005
6,0.0,6.0,0.28,0.19299999999999995,0.21350000000000002,0.27
7,0.0,7.0,0.28900000000000003,0.19799999999999995,0.21150000000000002,0.19499999999999995
8,0.0,8.0,0.274,0.25549999999999995,0.246,0.1805
9,0.0,9.0,0.21250000000000002,0.29200000000000004,0.22650000000000003,0.20399999999999996
10,1.0,0.0,0.21550000000000002,0.27549999999999997,0.1725,0.2925
11,1.0,1.0,0.21050000000000002,0.21299999999999997,0.24650000000000005,0.25349999999999995
12,1.0,2.0,0.24750000000000005,0.16849999999999998,0.20199999999999996,0.263
13,1.0,3.0,0.30400000000000005,0.245,0.20450000000000002,0.21599999999999997
14,1.0,4.0,0.277,0.23199999999999998,0.16049999999999998,0.23199999999999998
15,1.0,5.0,0.24050000000000005,0.236,0.247,0.236
16,1.0,6.0,0.24,0.238,0.27,0.3005
17,1.0,7.0,0.1745,0.16400000000000003,0.21799999999999997,0.22499999999999998
18,1.0,8.0,0.22999999999999998,0.20299999999999996,0.22599999999999998,0.1765
19,1.0,9.0,0.1885,0.26149999999999995,0.22850000000000004,0.1995
20,2.0,0.0,0.2025,0.21799999999999997,0.15700000000000003,0.15349999999999997
21,2.0,1.0,0.1765,0.17900000000000005,0.27949999999999997,0.22950000000000004
22,2.0,2.0,0.1925,0.18500000000000005,0.23750000000000004,0.22150000000000003
23,2.0,3.0,0.18999999999999995,0.21450000000000002,0.2025,0.253
24,2.0,4.0,0.19599999999999995,0.1955,0.248,0.22150000000000003
25,2.0,5.0,0.1815,0.21550000000000002,0.14600000000000002,0.25849999999999995
26,2.0,6.0,0.19299999999999995,0.26049999999999995,0.22999999999999998,0.31299999999999994
27,2.0,7.0,0.254,0.235,0.21350000000000002,0.17100000000000004
28,2.0,8.0,0.17149999999999999,0.20399999999999996,0.18400000000000005,0.249
29,2.0,9.0,0.19399999999999995,0.1725,0.17149999999999999,0.1865
30,3.0,0.0,0.16700000000000004,0.20499999999999996,0.25549999999999995,0.20850000000000002
31,3.0,1.0,0.254,0.15100000000000002,0.1805,0.20999999999999996
32,3.0,2.0,0.22399999999999998,0.16000000000000003,0.15700000000000003,0.252
33,3.0,3.0,0.21699999999999997,0.16249999999999998,0.20850000000000002,0.1905
34,3.0,4.0,0.1925,0.14500000000000002,0.2025,0.17700000000000005
35,3.0,5.0,0.20399999999999996,0.17149999999999999,0.22199999999999998,0.13849999999999996
36,3.0,6.0,0.1875,0.17300000000000004,0.18700000000000006,0.2015
37,3.0,7.0,0.16000000000000003,0.20650000000000002,0.16249999999999998,0.26749999999999996
38,3.0,8.0,0.22299999999999998,0.18200000000000005,0.1735,0.17500000000000004
39,3.0,9.0,0.1755,0.23350000000000004,0.18000000000000005,0.14149999999999996
40,4.0,0.0,0.1765,0.15449999999999997,0.16500000000000004,0.16600000000000004
41,4.0,1.0,0.1985,0.14800000000000002,0.18200000000000005,0.20850000000000002
42,4.0,2.0,0.16200000000000003,0.18200000000000005,0.17600000000000005,0.23450000000000004
43,4.0,3.0,0.16849999999999998,0.1735,0.17100000000000004,0.15349999999999997
44,4.0,4.0,0.2025,0.17800000000000005,0.20450000000000002,0.23299999999999998
45,4.0,5.0,0.16549999999999998,0.1855,0.21750000000000003,0.15300000000000002
46,4.0,6.0,0.20450000000000002,0.1875,0.26349999999999996,0.16849999999999998
47,4.0,7.0,0.16100000000000003,0.18300000000000005,0.23250000000000004,0.17100000000000004
48,4.0,8.0,0.15400000000000003,0.15200000000000002,0.1865,0.14800000000000002
49,4.0,9.0,0.17800000000000005,0.1915,0.20850000000000002,0.1855
50,5.0,0.0,0.1885,0.16900000000000004,0.22799999999999998,0.17400000000000004
51,5.0,1.0,0.2025,0.17149999999999999,0.19899999999999995,0.15100000000000002
52,5.0,2.0,0.1755,0.16800000000000004,0.15500000000000003,0.18000000000000005
53,5.0,3.0,0.21099999999999997,0.15300000000000002,0.1865,0.16149999999999998
