,m,r,1,2,3,5
61,10.0,1.0,0.15349999999999997,0.14849999999999997,0.19299999999999995,0.245
62,10.0,2.0,0.21499999999999997,0.14200000000000002,0.15700000000000003,0.1785
63,10.0,3.0,0.19499999999999995,0.1855,0.18500000000000005,0.20450000000000002
64,10.0,4.0,0.15449999999999997,0.18799999999999994,0.15649999999999997,0.22199999999999998
65,10.0,5.0,0.14849999999999997,0.1855,0.1835,0.16600000000000004
66,10.0,6.0,0.19299999999999995,0.15300000000000002,0.16700000000000004,0.23099999999999998
67,10.0,7.0,0.16900000000000004,0.18300000000000005,0.15100000000000002,0.18600000000000005
68,10.0,8.0,0.15249999999999997,0.1765,0.18799999999999994,0.25749999999999995
69,10.0,9.0,0.14700000000000002,0.17900000000000005,0.14600000000000002,0.22599999999999998
70,20.0,0.0,0.12050000000000005,0.1945,0.15800000000000003,0.1965
71,20.0,1.0,0.16200000000000003,0.20399999999999996,0.18200000000000005,0.21199999999999997
72,20.0,2.0,0.14900000000000002,0.19599999999999995,0.15649999999999997,0.17049999999999998
73,20.0,3.0,0.13249999999999995,0.18700000000000006,0.16600000000000004,0.21899999999999997
74,20.0,4.0,0.17200000000000004,0.16500000000000004,0.15249999999999997,0.244
75,20.0,5.0,0.15949999999999998,0.1765,0.122,0.1975
76,20.0,6.0,0.15100000000000002,0.19099999999999995,0.129,0.21050000000000002
77,20.0,7.0,0.16549999999999998,0.14900000000000002,0.14849999999999997,0.1925
78,20.0,8.0,0.15000000000000002,0.21599999999999997,0.14900000000000002,0.19799999999999995
79,20.0,9.0,0.16200000000000003,0.16600000000000004,0.14649999999999996,0.256
80,30.0,0.0,0.16300000000000003,0.2015,0.15500000000000003,0.1725
81,30.0,1.0,0.16200000000000003,0.1785,0.13649999999999995,0.235
82,30.0,2.0,0.14749999999999996,0.22150000000000003,0.16249999999999998,0.19899999999999995
83,30.0,3.0,0.16649999999999998,0.16449999999999998,0.11950000000000005,0.1725
84,30.0,4.0,0.17100000000000004,0.17000000000000004,0.15849999999999997,0.16000000000000003
85,30.0,5.0,0.16300000000000003,0.16849999999999998,0.14300000000000002,0.2005
86,30.0,6.0,0.15749999999999997,0.2025,0.13549999999999995,0.20399999999999996
87,30.0,7.0,0.17149999999999999,0.1735,0.10450000000000004,0.238
88,30.0,8.0,0.12749999999999995,0.18300000000000005,0.15749999999999997,0.18600000000000005
