,m,r,1,2,4
0,0.0,0.0,0.29100000000000004,0.34299999999999997,0.2855
1,0.0,1.0,0.3055,0.23099999999999998,0.2905
2,0.0,2.0,0.31599999999999995,0.24650000000000005,0.3015
3,0.0,3.0,0.33199999999999996,0.26849999999999996,0.2885
4,0.0,4.0,0.261,0.2895,0.26849999999999996
5,0.0,5.0,0.2815,0.256,0.32499999999999996
6,0.0,6.0,0.2885,0.3155,0.26649999999999996
7,0.0,7.0,0.27349999999999997,0.237,0.347
8,0.0,8.0,0.31799999999999995,0.36850000000000005,0.26549999999999996
9,0.0,9.0,0.28049999999999997,0.32199999999999995,0.29600000000000004
10,1.0,0.0,0.3065,0.27949999999999997,0.265
11,1.0,1.0,0.2945,0.277,0.3005
12,1.0,2.0,0.31999999999999995,0.27249999999999996,0.30500000000000005
13,1.0,3.0,0.23050000000000004,0.263,0.2845
14,1.0,4.0,0.25749999999999995,0.24150000000000005,0.27949999999999997
15,1.0,5.0,0.26549999999999996,0.2905,0.32999999999999996
16,1.0,6.0,0.26,0.29900000000000004,0.29500000000000004
17,1.0,7.0,0.3285,0.3145,0.26049999999999995
18,1.0,8.0,0.31399999999999995,0.3075,0.2845
19,1.0,9.0,0.3375,0.3295,0.27049999999999996
20,2.0,0.0,0.26849999999999996,0.24850000000000005,0.265
21,2.0,1.0,0.26149999999999995,0.29300000000000004,0.249
22,2.0,2.0,0.28,0.2905,0.24350000000000005
23,2.0,3.0,0.30400000000000005,0.2885,0.241
24,2.0,4.0,0.29100000000000004,0.248,0.23150000000000004
25,2.0,5.0,0.24650000000000005,0.30000000000000004,0.23250000000000004
26,2.0,6.0,0.27449999999999997,0.235,0.26849999999999996
27,2.0,7.0,0.27049999999999996,0.3265,0.24
28,2.0,8.0,0.24,0.3425,0.23850000000000005
29,2.0,9.0,0.29400000000000004,0.30400000000000005,0.3095
30,3.0,0.0,0.25549999999999995,0.3175,0.238
31,3.0,1.0,0.23950000000000005,0.2905,0.22899999999999998
32,3.0,2.0,0.26449999999999996,0.272,0.23850000000000005
33,3.0,3.0,0.276,0.237,0.24750000000000005
34,3.0,4.0,0.27449999999999997,0.244,0.274
35,3.0,5.0,0.24350000000000005,0.22899999999999998,0.27549999999999997
36,3.0,6.0,0.29100000000000004,0.27,0.2865
37,3.0,7.0,0.255,0.25149999999999995,0.27849999999999997
38,3.0,8.0,0.27349999999999997,0.2975,0.273
39,3.0,9.0,0.265,0.29400000000000004,0.27549999999999997
40,4.0,0.0,0.26649999999999996,0.25549999999999995,0.22850000000000004
41,4.0,1.0,0.27149999999999996,0.261,0.22850000000000004
42,4.0,2.0,0.28800000000000003,0.32199999999999995,0.23550000000000004
43,4.0,3.0,0.243,0.24450000000000005,0.2815
44,4.0,4.0,0.26049999999999995,0.25049999999999994,0.22599999999999998
