,m,r,0,0_alpha,10,10_alpha,45,45_alpha,90,90_alpha,135,135_alpha
0,0.0,0.0,0.3275,0.5,0.3375,0.5,0.33099999999999996,0.5,0.33799999999999997,0.5,0.3225,0.5
1,0.0,1.0,0.3435,0.5,0.3185,0.5,0.3355,0.5,0.3205,0.5,0.346,0.5
2,0.0,2.0,0.32099999999999995,0.5,0.33599999999999997,0.5,0.3065,0.5,0.32099999999999995,0.5,0.3245,0.5
3,0.0,3.0,0.3345,0.5,0.33199999999999996,0.5,0.34099999999999997,0.5,0.34199999999999997,0.5,0.32799999999999996,0.5
4,0.0,4.0,0.3155,0.5,0.3295,0.5,0.3255,0.5,0.3315,0.5,0.32999999999999996,0.5
5,0.0,5.0,0.33799999999999997,0.5,0.32499999999999996,0.5,0.3315,0.5,0.31999999999999995,0.5,0.3365,0.5
6,0.0,6.0,0.32599999999999996,0.5,0.31799999999999995,0.5,0.3165,0.5,0.3315,0.5,0.3165,0.5
7,0.0,7.0,0.3285,0.5,0.32799999999999996,0.5,0.3245,0.5,0.31799999999999995,0.5,0.32099999999999995,0.5
8,0.0,8.0,0.33499999999999996,0.5,0.3425,0.5,0.31699999999999995,0.5,0.31999999999999995,0.5,0.3275,0.5
9,0.0,9.0,0.32899999999999996,0.5,0.3215,0.5,0.3245,0.5,0.3175,0.5,0.32499999999999996,0.5
10,3.0,0.0,0.25,0.5,0.259,0.5,0.27749999999999997,0.5,0.2975,0.5,0.30900000000000005,0.5
11,3.0,1.0,0.249,0.5,0.264,0.5,0.263,0.5,0.29700000000000004,0.5,0.31999999999999995,0.5
12,3.0,2.0,0.25949999999999995,0.5,0.246,0.5,0.274,0.5,0.3125,0.5,0.30300000000000005,0.5
13,3.0,3.0,0.256,0.5,0.247,0.5,0.276,0.5,0.3105,0.5,0.31200000000000006,0.5
14,3.0,4.0,0.259,0.5,0.253,0.5,0.279,0.5,0.29700000000000004,0.5,0.3125,0.5
15,3.0,5.0,0.25249999999999995,0.5,0.26349999999999996,0.5,0.27,0.5,0.2955,0.5,0.31699999999999995,0.5
16,3.0,6.0,0.24950000000000006,0.5,0.24,0.5,0.27349999999999997,0.5,0.29600000000000004,0.5,0.3195,0.5
17,3.0,7.0,0.252,0.5,0.257,0.5,0.252,0.5,0.3075,0.5,0.3155,0.5
18,3.0,8.0,0.256,0.5,0.26,0.5,0.27349999999999997,0.5,0.29400000000000004,0.5,0.3065,0.5
19,3.0,9.0,0.261,0.5,0.25449999999999995,0.5,0.276,0.5,0.30500000000000005,0.5,0.3075,0.5
20,5.0,0.0,0.236,0.5,0.23750000000000004,0.5,0.273,0.5,0.2985,0.5,0.3035,0.5
21,5.0,1.0,0.22399999999999998,0.5,0.244,0.5,0.27249999999999996,0.5,0.2955,0.5,0.30600000000000005,0.5
22,5.0,2.0,0.21650000000000003,0.5,0.239,0.5,0.28,0.5,0.3025,0.5,0.30800000000000005,0.5
23,5.0,3.0,0.22250000000000003,0.5,0.24050000000000005,0.5,0.278,0.5,0.2915,0.5,0.30100000000000005,0.5
24,5.0,4.0,0.238,0.5,0.241,0.5,0.27949999999999997,0.5,0.31200000000000006,0.5,0.28800000000000003,0.5
25,5.0,5.0,0.22299999999999998,0.5,0.24750000000000005,0.5,0.26649999999999996,0.5,0.3095,0.5,0.30200000000000005,0.5
26,5.0,6.0,0.24050000000000005,0.5,0.244,0.5,0.27349999999999997,0.5,0.2875,0.5,0.30200000000000005,0.5
27,5.0,7.0,0.23299999999999998,0.5,0.24450000000000005,0.5,0.27649999999999997,0.5,0.28900000000000003,0.5,0.3165,0.5
28,5.0,8.0,0.23450000000000004,0.5,0.23950000000000005,0.5,0.271,0.5,0.2995,0.5,0.3085,0.5
29,5.0,9.0,0.237,0.5,0.24050000000000005,0.5,0.26749999999999996,0.5,0.29300000000000004,0.5,0.3155,0.5
30,10.0,0.0,0.22499999999999998,0.5,0.23299999999999998,0.5,0.27149999999999996,0.5,0.29800000000000004,0.5,0.3115,0.5
31,10.0,1.0,0.21999999999999997,0.5,0.23350000000000004,0.5,0.26949999999999996,0.5,0.29100000000000004,0.5,0.3055,0.5
32,10.0,2.0,0.21950000000000003,0.5,0.23450000000000004,0.5,0.26949999999999996,0.5,0.2965,0.5,0.32799999999999996,0.5
33,10.0,3.0,0.22950000000000004,0.5,0.22650000000000003,0.5,0.272,0.5,0.30200000000000005,0.5,0.31100000000000005,0.5
34,10.0,4.0,0.22099999999999997,0.5,0.24350000000000005,0.5,0.27649999999999997,0.5,0.29300000000000004,0.5,0.3095,0.5
35,10.0,5.0,0.21099999999999997,0.5,0.23199999999999998,0.5,0.28049999999999997,0.5,0.2905,0.5,0.30500000000000005,0.5
36,10.0,6.0,0.21599999999999997,0.5,0.23450000000000004,0.5,0.273,0.5,0.2915,0.5,0.31899999999999995,0.5
37,10.0,7.0,0.21850000000000003,0.5,0.23350000000000004,0.5,0.276,0.5,0.3055,0.5,0.3045,0.5
38,10.0,8.0,0.22350000000000003,0.5,0.23650000000000004,0.5,0.276,0.5,0.3005,0.5,0.32499999999999996,0.5
39,10.0,9.0,0.21799999999999997,0.5,0.23750000000000004,0.5,0.266,0.5,0.29700000000000004,0.5,0.32199999999999995,0.5
40,20.0,0.0,0.20950000000000002,0.5,0.21399999999999997,0.5,0.25849999999999995,0.5,0.28500000000000003,0.5,0.32499999999999996,0.5
41,20.0,1.0,0.20950000000000002,0.5,0.21150000000000002,0.5,0.25049999999999994,0.5,0.29100000000000004,0.5,0.3225,0.5
42,20.0,2.0,0.21050000000000002,0.5,0.20950000000000002,0.5,0.25649999999999995,0.5,0.2915,0.5,0.3335,0.5
43,20.0,3.0,0.21950000000000003,0.5,0.20999999999999996,0.5,0.249,0.5,0.2895,0.5,0.3155,0.5
44,20.0,4.0,0.20099999999999996,0.5,0.20499999999999996,0.5,0.269,0.5,0.2865,0.5,0.32299999999999995,0.5
45,20.0,5.0,0.20899999999999996,0.5,0.21199999999999997,0.5,0.24150000000000005,0.5,0.2935,0.5,0.3135,0.5
46,20.0,6.0,0.20499999999999996,0.5,0.20350000000000001,0.5,0.25849999999999995,0.5,0.2995,0.5,0.3125,0.5
47,20.0,7.0,0.2005,0.5,0.21050000000000002,0.5,0.25949999999999995,0.5,0.27949999999999997,0.5,0.32199999999999995,0.5
48,20.0,8.0,0.21250000000000002,0.5,0.22250000000000003,0.5,0.253,0.5,0.28500000000000003,0.5,0.3105,0.5
49,20.0,9.0,0.20550000000000002,0.5,0.21099999999999997,0.5,0.269,0.5,0.29000000000000004,0.5,0.31399999999999995,0.5
50,30.0,0.0,0.1765,0.5,0.20699999999999996,0.5,0.26,0.5,0.2945,0.5,0.30600000000000005,0.5
51,30.0,1.0,0.19399999999999995,0.5,0.1995,0.5,0.25449999999999995,0.5,0.2955,0.5,0.32599999999999996,0.5
52,30.0,2.0,0.18200000000000005,0.5,0.20750000000000002,0.5,0.264,0.5,0.2965,0.5,0.3315,0.5
53,30.0,3.0,0.1915,0.5,0.1945,0.5,0.26849999999999996,0.5,0.30100000000000005,0.5,0.31499999999999995,0.5
54,30.0,4.0,0.1945,0.5,0.19599999999999995,0.5,0.262,0.5,0.2895,0.5,0.30000000000000004,0.5
55,30.0,5.0,0.1855,0.5,0.19599999999999995,0.5,0.26349999999999996,0.5,0.2965,0.5,0.31899999999999995,0.5
56,30.0,6.0,0.1915,0.5,0.21099999999999997,0.5,0.25249999999999995,0.5,0.29700000000000004,0.5,0.32899999999999996,0.5
57,30.0,7.0,0.1895,0.5,0.19699999999999995,0.5,0.25049999999999994,0.5,0.29300000000000004,0.5,0.3195,0.5
58,30.0,8.0,0.1845,0.5,0.21399999999999997,0.5,0.25549999999999995,0.5,0.29600000000000004,0.5,0.31399999999999995,0.5
59,30.0,9.0,0.1925,0.5,0.1965,0.5,0.274,0.5,0.29400000000000004,0.5,0.3125,0.5
60,40.0,0.0,0.1725,0.5,0.19099999999999995,0.5,0.25749999999999995,0.5,0.3045,0.5,0.3145,0.5
61,40.0,1.0,0.1725,0.5,0.18100000000000005,0.5,0.248,0.5,0.29500000000000004,0.5,0.33399999999999996,0.5
62,40.0,2.0,0.18500000000000005,0.5,0.17500000000000004,0.5,0.257,0.5,0.29100000000000004,0.5,0.30700000000000005,0.5
63,40.0,3.0,0.1785,0.5,0.19399999999999995,0.5,0.252,0.5,0.3095,0.5,0.31499999999999995,0.5
64,40.0,4.0,0.1725,0.5,0.18899999999999995,0.5,0.254,0.5,0.2925,0.5,0.33099999999999996,0.5
65,40.0,5.0,0.18000000000000005,0.5,0.1875,0.5,0.25549999999999995,0.5,0.29700000000000004,0.5,0.32599999999999996,0.5
66,40.0,6.0,0.18300000000000005,0.5,0.1895,0.5,0.25849999999999995,0.5,0.3025,0.5,0.31799999999999995,0.5
67,40.0,7.0,0.18100000000000005,0.5,0.1835,0.5,0.24250000000000005,0.5,0.29700000000000004,0.5,0.30400000000000005,0.5
68,40.0,8.0,0.1835,0.5,0.19599999999999995,0.5,0.249,0.5,0.28700000000000003,0.5,0.3315,0.5
69,40.0,9.0,0.17400000000000004,0.5,0.18700000000000006,0.5,0.254,0.5,0.3035,0.5,0.3265,0.5
70,50.0,0.0,0.16700000000000004,0.5,0.17700000000000005,0.5,0.261,0.5,0.2885,0.5,0.32199999999999995,0.5
71,50.0,1.0,0.16800000000000004,0.5,0.18999999999999995,0.5,0.24750000000000005,0.5,0.30900000000000005,0.5,0.3325,0.5
72,50.0,2.0,0.17600000000000005,0.5,0.1825,0.5,0.249,0.5,0.2975,0.5,0.33999999999999997,0.5
73,50.0,3.0,0.16900000000000004,0.5,0.18000000000000005,0.5,0.24150000000000005,0.5,0.3035,0.5,0.29800000000000004,0.5
74,50.0,4.0,0.16449999999999998,0.5,0.18600000000000005,0.5,0.24450000000000005,0.5,0.30200000000000005,0.5,0.3245,0.5
75,50.0,5.0,0.17300000000000004,0.5,0.17400000000000004,0.5,0.25449999999999995,0.5,0.29100000000000004,0.5,0.3375,0.5
76,50.0,6.0,0.1735,0.5,0.1775,0.5,0.246,0.5,0.2915,0.5,0.33199999999999996,0.5
77,50.0,7.0,0.16749999999999998,0.5,0.16849999999999998,0.5,0.248,0.5,0.28800000000000003,0.5,0.3295,0.5
78,50.0,8.0,0.17200000000000004,0.5,0.17500000000000004,0.5,0.253,0.5,0.30800000000000005,0.5,0.3375,0.5
79,50.0,9.0,0.17400000000000004,0.5,0.17300000000000004,0.5,0.257,0.5,0.2935,0.5,0.31799999999999995,0.5
