,m,r,1,2
0,0.0,0.0,0.27649999999999997,0.253
1,0.0,1.0,0.268,0.24850000000000005
2,0.0,2.0,0.246,0.253
3,0.0,3.0,0.254,0.24550000000000005
4,0.0,4.0,0.26749999999999996,0.24950000000000006
5,0.0,5.0,0.26049999999999995,0.258
6,0.0,6.0,0.26549999999999996,0.25249999999999995
7,0.0,7.0,0.252,0.259
8,0.0,8.0,0.247,0.25949999999999995
9,0.0,9.0,0.263,0.242
10,1.0,0.0,0.277,0.271
11,1.0,1.0,0.29400000000000004,0.26349999999999996
12,1.0,2.0,0.26149999999999995,0.258
13,1.0,3.0,0.277,0.26749999999999996
14,1.0,4.0,0.26849999999999996,0.272
15,1.0,5.0,0.27849999999999997,0.27949999999999997
16,1.0,6.0,0.2945,0.26949999999999996
17,1.0,7.0,0.29000000000000004,0.272
18,1.0,8.0,0.274,0.28300000000000003
19,1.0,9.0,0.27949999999999997,0.26849999999999996
20,2.0,0.0,0.3085,0.2845
21,2.0,1.0,0.29200000000000004,0.26149999999999995
22,2.0,2.0,0.30900000000000005,0.27
23,2.0,3.0,0.3075,0.25749999999999995
24,2.0,4.0,0.2925,0.265
25,2.0,5.0,0.2925,0.26949999999999996
26,2.0,6.0,0.29500000000000004,0.26949999999999996
27,2.0,7.0,0.30900000000000005,0.27649999999999997
28,2.0,8.0,0.29200000000000004,0.278
29,2.0,9.0,0.3055,0.27349999999999997
30,3.0,0.0,0.3075,0.279
31,3.0,1.0,0.31399999999999995,0.26749999999999996
32,3.0,2.0,0.3075,0.2915
33,3.0,3.0,0.30300000000000005,0.27749999999999997
34,3.0,4.0,0.2985,0.27849999999999997
35,3.0,5.0,0.3135,0.26649999999999996
36,3.0,6.0,0.3045,0.27549999999999997
37,3.0,7.0,0.30900000000000005,0.27649999999999997
38,3.0,8.0,0.31699999999999995,0.28200000000000003
39,3.0,9.0,0.3115,0.26349999999999996
40,4.0,0.0,0.32599999999999996,0.2975
41,4.0,1.0,0.3315,0.29100000000000004
42,4.0,2.0,0.31599999999999995,0.2825
43,4.0,3.0,0.3335,0.27949999999999997
44,4.0,4.0,0.34199999999999997,0.2885
45,4.0,5.0,0.3045,0.28500000000000003
46,4.0,6.0,0.3165,0.28300000000000003
47,4.0,7.0,0.3235,0.28400000000000003
48,4.0,8.0,0.30400000000000005,0.28900000000000003
49,4.0,9.0,0.32699999999999996,0.278
50,5.0,0.0,0.3165,0.2945
51,5.0,1.0,0.3285,0.28400000000000003
52,5.0,2.0,0.3225,0.28500000000000003
53,5.0,3.0,0.32699999999999996,0.28300000000000003
54,5.0,4.0,0.3305,0.276
55,5.0,5.0,0.3365,0.29100000000000004
56,5.0,6.0,0.31399999999999995,0.2855
57,5.0,7.0,0.30200000000000005,0.29300000000000004
58,5.0,8.0,0.3275,0.28600000000000003
59,5.0,9.0,0.3235,0.27449999999999997
60,10.0,0.0,0.3425,0.30100000000000005
61,10.0,1.0,0.357,0.2915
62,10.0,2.0,0.3435,0.3045
63,10.0,3.0,0.353,0.30400000000000005
64,10.0,4.0,0.36050000000000004,0.30300000000000005
65,10.0,5.0,0.358,0.3025
66,10.0,6.0,0.35050000000000003,0.3035
67,10.0,7.0,0.33899999999999997,0.29600000000000004
68,10.0,8.0,0.35,0.29900000000000004
69,10.0,9.0,0.35,0.29200000000000004
70,20.0,0.0,0.36850000000000005,0.3275
71,20.0,1.0,0.368,0.31499999999999995
72,20.0,2.0,0.35650000000000004,0.32399999999999995
73,20.0,3.0,0.35950000000000004,0.31599999999999995
74,20.0,4.0,0.35450000000000004,0.3185
75,20.0,5.0,0.37150000000000005,0.32799999999999996
76,20.0,6.0,0.36250000000000004,0.32699999999999996
77,20.0,7.0,0.36850000000000005,0.30700000000000005
78,20.0,8.0,0.3415,0.31999999999999995
79,20.0,9.0,0.36750000000000005,0.32299999999999995
80,30.0,0.0,0.35650000000000004,0.3105
81,30.0,1.0,0.349,0.3135
82,30.0,2.0,0.363,0.31299999999999994
83,30.0,3.0,0.36850000000000005,0.32299999999999995
84,30.0,4.0,0.361,0.30200000000000005
85,30.0,5.0,0.359,0.30200000000000005
86,30.0,6.0,0.366,0.30600000000000005
87,30.0,7.0,0.373,0.3125
88,30.0,8.0,0.36150000000000004,0.3055
89,30.0,9.0,0.36750000000000005,0.30700000000000005
90,40.0,0.0,0.371,0.3235
91,40.0,1.0,0.36050000000000004,0.3155
92,40.0,2.0,0.362,0.31999999999999995
93,40.0,3.0,0.372,0.32599999999999996
94,40.0,4.0,0.35550000000000004,0.32399999999999995
95,40.0,5.0,0.37549999999999994,0.3165
96,40.0,6.0,0.353,0.3315
97,40.0,7.0,0.351,0.30000000000000004
98,40.0,8.0,0.37350000000000005,0.3195
99,40.0,9.0,0.36550000000000005,0.3245
