,m,r,1,2,4
0,0.0,0.0,0.27649999999999997,0.253,0.27149999999999996
1,0.0,1.0,0.268,0.24850000000000005,0.24550000000000005
2,0.0,2.0,0.246,0.253,0.26249999999999996
3,0.0,3.0,0.254,0.24550000000000005,0.248
4,0.0,4.0,0.26749999999999996,0.24950000000000006,0.27249999999999996
5,0.0,5.0,0.26049999999999995,0.258,0.248
6,0.0,6.0,0.26549999999999996,0.25249999999999995,0.28600000000000003
7,0.0,7.0,0.252,0.259,0.24450000000000005
8,0.0,8.0,0.247,0.25949999999999995,0.242
9,0.0,9.0,0.263,0.242,0.255
10,1.0,0.0,0.277,0.271,0.2825
11,1.0,1.0,0.29400000000000004,0.26349999999999996,0.27
12,1.0,2.0,0.26149999999999995,0.258,0.28
13,1.0,3.0,0.277,0.26749999999999996,0.26849999999999996
14,1.0,4.0,0.26849999999999996,0.272,0.28049999999999997
15,1.0,5.0,0.27849999999999997,0.27949999999999997,0.278
16,1.0,6.0,0.2945,0.26949999999999996,0.2895
17,1.0,7.0,0.29000000000000004,0.272,0.2855
18,1.0,8.0,0.274,0.28300000000000003,0.2995
19,1.0,9.0,0.27949999999999997,0.26849999999999996,0.272
20,2.0,0.0,0.3085,0.2845,0.28900000000000003
21,2.0,1.0,0.29200000000000004,0.26149999999999995,0.27249999999999996
22,2.0,2.0,0.30900000000000005,0.27,0.28300000000000003
23,2.0,3.0,0.3075,0.25749999999999995,0.2965
24,2.0,4.0,0.2925,0.265,0.28
25,2.0,5.0,0.2925,0.26949999999999996,0.29600000000000004
26,2.0,6.0,0.29500000000000004,0.26949999999999996,0.27749999999999997
27,2.0,7.0,0.30900000000000005,0.27649999999999997,0.2885
28,2.0,8.0,0.29200000000000004,0.278,0.278
29,2.0,9.0,0.3055,0.27349999999999997,0.28900000000000003
30,3.0,0.0,0.3075,0.279,0.29800000000000004
31,3.0,1.0,0.31399999999999995,0.26749999999999996,0.32099999999999995
32,3.0,2.0,0.3075,0.2915,0.31999999999999995
33,3.0,3.0,0.30300000000000005,0.27749999999999997,0.29800000000000004
34,3.0,4.0,0.2985,0.27849999999999997,0.3075
35,3.0,5.0,0.3135,0.26649999999999996,0.3145
36,3.0,6.0,0.3045,0.27549999999999997,0.3035
37,3.0,7.0,0.30900000000000005,0.27649999999999997,0.31699999999999995
38,3.0,8.0,0.31699999999999995,0.28200000000000003,0.2985
39,3.0,9.0,0.3115,0.26349999999999996,0.31999999999999995
40,4.0,0.0,0.32599999999999996,0.2975,0.32699999999999996
41,4.0,1.0,0.3315,0.29100000000000004,0.32199999999999995
