,m,r,1,2,4,5
0,0.0,0.0,0.27649999999999997,0.253,0.27149999999999996,0.241
1,0.0,1.0,0.268,0.24850000000000005,0.24550000000000005,0.26249999999999996
2,0.0,2.0,0.246,0.253,0.26249999999999996,0.24550000000000005
3,0.0,3.0,0.254,0.24550000000000005,0.248,0.26149999999999995
4,0.0,4.0,0.26749999999999996,0.24950000000000006,0.27249999999999996,0.25149999999999995
5,0.0,5.0,0.26049999999999995,0.258,0.248,0.263
6,0.0,6.0,0.26549999999999996,0.25249999999999995,0.28600000000000003,0.25049999999999994
7,0.0,7.0,0.252,0.259,0.24450000000000005,0.27349999999999997
8,0.0,8.0,0.247,0.25949999999999995,0.242,0.27
9,0.0,9.0,0.263,0.242,0.255,0.26
10,1.0,0.0,0.277,0.271,0.2825,0.25249999999999995
11,1.0,1.0,0.29400000000000004,0.26349999999999996,0.27,0.257
12,1.0,2.0,0.26149999999999995,0.258,0.28,0.268
13,1.0,3.0,0.277,0.26749999999999996,0.26849999999999996,0.272
14,1.0,4.0,0.26849999999999996,0.272,0.28049999999999997,0.26349999999999996
15,1.0,5.0,0.27849999999999997,0.27949999999999997,0.278,0.26949999999999996
16,1.0,6.0,0.2945,0.26949999999999996,0.2895,0.26549999999999996
17,1.0,7.0,0.29000000000000004,0.272,0.2855,0.28700000000000003
18,1.0,8.0,0.274,0.28300000000000003,0.2995,0.26449999999999996
19,1.0,9.0,0.27949999999999997,0.26849999999999996,0.272,0.25649999999999995
20,2.0,0.0,0.3085,0.2845,0.28900000000000003,0.30600000000000005
21,2.0,1.0,0.29200000000000004,0.26149999999999995,0.27249999999999996,0.30900000000000005
22,2.0,2.0,0.30900000000000005,0.27,0.28300000000000003,0.28700000000000003
23,2.0,3.0,0.3075,0.25749999999999995,0.2965,0.30400000000000005
24,2.0,4.0,0.2925,0.265,0.28,0.30700000000000005
25,2.0,5.0,0.2925,0.26949999999999996,0.29600000000000004,0.30300000000000005
26,2.0,6.0,0.29500000000000004,0.26949999999999996,0.27749999999999997,0.29200000000000004
27,2.0,7.0,0.30900000000000005,0.27649999999999997,0.2885,0.29500000000000004
28,2.0,8.0,0.29200000000000004,0.278,0.278,0.30400000000000005
29,2.0,9.0,0.3055,0.27349999999999997,0.28900000000000003,0.30800000000000005
30,3.0,0.0,0.3075,0.279,0.29800000000000004,0.30600000000000005
31,3.0,1.0,0.31399999999999995,0.26749999999999996,0.32099999999999995,0.30100000000000005
32,3.0,2.0,0.3075,0.2915,0.31999999999999995,0.30200000000000005
33,3.0,3.0,0.30300000000000005,0.27749999999999997,0.29800000000000004,0.30800000000000005
34,3.0,4.0,0.2985,0.27849999999999997,0.3075,0.30600000000000005
35,3.0,5.0,0.3135,0.26649999999999996,0.3145,0.29900000000000004
36,3.0,6.0,0.3045,0.27549999999999997,0.3035,0.32199999999999995
37,3.0,7.0,0.30900000000000005,0.27649999999999997,0.31699999999999995,0.30400000000000005
38,3.0,8.0,0.31699999999999995,0.28200000000000003,0.2985,0.3255
39,3.0,9.0,0.3115,0.26349999999999996,0.31999999999999995,0.30200000000000005
40,4.0,0.0,0.32599999999999996,0.2975,0.32699999999999996,0.3085
41,4.0,1.0,0.3315,0.29100000000000004,0.32199999999999995,0.2935
42,4.0,2.0,0.31599999999999995,0.2825,0.33999999999999997,0.30600000000000005
43,4.0,3.0,0.3335,0.27949999999999997,0.34299999999999997,0.28500000000000003
44,4.0,4.0,0.34199999999999997,0.2885,0.3245,0.31399999999999995
45,4.0,5.0,0.3045,0.28500000000000003,0.32799999999999996,0.33099999999999996
46,4.0,6.0,0.3165,0.28300000000000003,0.33299999999999996,0.3265
47,4.0,7.0,0.3235,0.28400000000000003,0.3415,0.3165
48,4.0,8.0,0.30400000000000005,0.28900000000000003,0.3285,0.33099999999999996
49,4.0,9.0,0.32699999999999996,0.278,0.33899999999999997,0.31499999999999995
50,5.0,0.0,0.3165,0.2945,0.346,0.3415
51,5.0,1.0,0.3285,0.28400000000000003,0.33399999999999996,0.33199999999999996
52,5.0,2.0,0.3225,0.28500000000000003,0.3375,0.3245
53,5.0,3.0,0.32699999999999996,0.28300000000000003,0.33999999999999997,0.31899999999999995
54,5.0,4.0,0.3305,0.276,0.3395,0.32299999999999995
55,5.0,5.0,0.3365,0.29100000000000004,0.3415,0.3315
56,5.0,6.0,0.31399999999999995,0.2855,0.3305,0.32499999999999996
57,5.0,7.0,0.30200000000000005,0.29300000000000004,0.33899999999999997,0.3145
