,m,r,0,10,45,90,135
0,0.0,0.0,0.3275,0.3375,0.3309999999999999,0.3379999999999999,0.3225
1,0.0,1.0,0.3435,0.3185,0.3355,0.3205,0.346
2,0.0,2.0,0.3209999999999999,0.3359999999999999,0.3065,0.3209999999999999,0.3245
3,0.0,3.0,0.3345,0.3319999999999999,0.3409999999999999,0.3419999999999999,0.3279999999999999
4,0.0,4.0,0.3155,0.3295,0.3255,0.3315,0.3299999999999999
5,0.0,5.0,0.3379999999999999,0.3249999999999999,0.3315,0.3199999999999999,0.3365
6,0.0,6.0,0.3259999999999999,0.3179999999999999,0.3165,0.3315,0.3165
7,0.0,7.0,0.3285,0.3279999999999999,0.3245,0.3179999999999999,0.3209999999999999
8,0.0,8.0,0.3349999999999999,0.3425,0.3169999999999999,0.3199999999999999,0.3275
9,0.0,9.0,0.3289999999999999,0.3215,0.3245,0.3175,0.3249999999999999
30,3.0,0.0,0.2415,0.2485,0.275,0.309,0.311
31,3.0,1.0,0.2524999999999999,0.241,0.276,0.306,0.3165
32,3.0,2.0,0.24,0.263,0.2574999999999999,0.303,0.2945
33,3.0,3.0,0.2574999999999999,0.2465,0.273,0.3179999999999999,0.302
34,3.0,4.0,0.2475,0.2694999999999999,0.264,0.3005,0.3129999999999999
35,3.0,5.0,0.241,0.2594999999999999,0.267,0.2905,0.307
36,3.0,6.0,0.259,0.2634999999999999,0.279,0.304,0.3199999999999999
37,3.0,7.0,0.243,0.2624999999999999,0.278,0.2965,0.311
38,3.0,8.0,0.249,0.252,0.2754999999999999,0.295,0.3105
39,3.0,9.0,0.25,0.266,0.268,0.3015,0.312
50,5.0,0.0,0.2425,0.244,0.2774999999999999,0.311,0.3025
51,5.0,1.0,0.241,0.244,0.2754999999999999,0.294,0.3035
52,5.0,2.0,0.2339999999999999,0.246,0.2644999999999999,0.3035,0.3115
53,5.0,3.0,0.2279999999999999,0.2495,0.2764999999999999,0.298,0.308
54,5.0,4.0,0.2425,0.2395,0.271,0.299,0.3095
55,5.0,5.0,0.2299999999999999,0.2309999999999999,0.2714999999999999,0.3,0.304
56,5.0,6.0,0.2249999999999999,0.245,0.279,0.295,0.307
57,5.0,7.0,0.2259999999999999,0.2534999999999999,0.259,0.2895,0.305
58,5.0,8.0,0.2305,0.244,0.282,0.294,0.291
59,5.0,9.0,0.2249999999999999,0.2465,0.272,0.3005,0.2955
60,10.0,0.0,0.2175,0.241,0.262,0.2935,0.3075
61,10.0,1.0,0.2169999999999999,0.2309999999999999,0.2654999999999999,0.293,0.3065
62,10.0,2.0,0.2209999999999999,0.2305,0.25,0.3,0.3065
63,10.0,3.0,0.2159999999999999,0.2375,0.2564999999999999,0.297,0.311
64,10.0,4.0,0.2185,0.2239999999999999,0.273,0.29,0.3055
65,10.0,5.0,0.2295,0.2265,0.268,0.2995,0.308
66,10.0,6.0,0.2295,0.2395,0.2694999999999999,0.3,0.3169999999999999
