,m,r,5,alpha
0,0.0,0.0,0.18500000000000005,0.5
1,0.0,1.0,0.16949999999999998,0.5
2,0.0,2.0,0.1765,0.5
3,0.0,3.0,0.1865,0.5
4,0.0,4.0,0.18700000000000006,0.5
5,0.0,5.0,0.1725,0.5
6,0.0,6.0,0.1825,0.5
7,0.0,7.0,0.16200000000000003,0.5
8,0.0,8.0,0.17500000000000004,0.5
9,0.0,9.0,0.16649999999999998,0.5
10,1.0,0.0,0.16100000000000003,0.7
11,1.0,1.0,0.16400000000000003,0.7
12,1.0,2.0,0.16300000000000003,0.7
13,1.0,3.0,0.15700000000000003,0.7
14,1.0,4.0,0.15749999999999997,0.7
15,1.0,5.0,0.16949999999999998,0.7
16,1.0,6.0,0.16600000000000004,0.7
17,1.0,7.0,0.15849999999999997,0.7
18,1.0,8.0,0.14800000000000002,0.7
19,1.0,9.0,0.16600000000000004,0.7
20,2.0,0.0,0.16500000000000004,0.5
21,2.0,1.0,0.16449999999999998,0.5
22,2.0,2.0,0.15300000000000002,0.5
23,2.0,3.0,0.15700000000000003,0.5
24,2.0,4.0,0.15749999999999997,0.5
25,2.0,5.0,0.15800000000000003,0.5
26,2.0,6.0,0.16049999999999998,0.5
27,2.0,7.0,0.16249999999999998,0.5
28,2.0,8.0,0.16700000000000004,0.5
29,2.0,9.0,0.16149999999999998,0.5
30,3.0,0.0,0.1815,0.9999999999999999
31,3.0,1.0,0.17400000000000004,0.9999999999999999
32,3.0,2.0,0.1875,0.9999999999999999
33,3.0,3.0,0.1815,0.9999999999999999
34,3.0,4.0,0.18700000000000006,0.9999999999999999
35,3.0,5.0,0.17600000000000005,0.9999999999999999
36,3.0,6.0,0.1865,0.9999999999999999
37,3.0,7.0,0.18100000000000005,0.9999999999999999
38,3.0,8.0,0.19799999999999995,0.9999999999999999
39,3.0,9.0,0.17700000000000005,0.9999999999999999
40,4.0,0.0,0.1745,0.9999999999999999
41,4.0,1.0,0.1755,0.9999999999999999
42,4.0,2.0,0.18000000000000005,0.9999999999999999
43,4.0,3.0,0.17500000000000004,0.9999999999999999
44,4.0,4.0,0.17149999999999999,0.9999999999999999
45,4.0,5.0,0.17700000000000005,0.9999999999999999
46,4.0,6.0,0.1885,0.9999999999999999
47,4.0,7.0,0.1905,0.9999999999999999
48,4.0,8.0,0.1775,0.9999999999999999
49,4.0,9.0,0.17900000000000005,0.9999999999999999
50,5.0,0.0,0.17700000000000005,0.9999999999999999
51,5.0,1.0,0.18500000000000005,0.9999999999999999
52,5.0,2.0,0.16849999999999998,0.9999999999999999
53,5.0,3.0,0.1805,0.9999999999999999
54,5.0,4.0,0.1765,0.9999999999999999
55,5.0,5.0,0.18400000000000005,0.9999999999999999
56,5.0,6.0,0.17500000000000004,0.9999999999999999
57,5.0,7.0,0.17900000000000005,0.9999999999999999
58,5.0,8.0,0.16300000000000003,0.9999999999999999
59,5.0,9.0,0.16849999999999998,0.9999999999999999
60,10.0,0.0,0.20450000000000002,0.5
61,10.0,1.0,0.19799999999999995,0.5
62,10.0,2.0,0.1845,0.5
63,10.0,3.0,0.1915,0.5
64,10.0,4.0,0.19799999999999995,0.5
65,10.0,5.0,0.19699999999999995,0.5
66,10.0,6.0,0.1875,0.5
67,10.0,7.0,0.2005,0.5
68,10.0,8.0,0.20099999999999996,0.5
69,10.0,9.0,0.1945,0.5
70,20.0,0.0,0.1725,0.9999999999999999
71,20.0,1.0,0.1835,0.9999999999999999
72,20.0,2.0,0.17300000000000004,0.9999999999999999
73,20.0,3.0,0.1825,0.9999999999999999
74,20.0,4.0,0.16749999999999998,0.9999999999999999
75,20.0,5.0,0.1805,0.9999999999999999
76,20.0,6.0,0.1875,0.9999999999999999
77,20.0,7.0,0.1755,0.9999999999999999
78,20.0,8.0,0.18200000000000005,0.9999999999999999
79,20.0,9.0,0.17000000000000004,0.9999999999999999
80,30.0,0.0,0.17400000000000004,0.9999999999999999
81,30.0,1.0,0.18600000000000005,0.9999999999999999
82,30.0,2.0,0.15949999999999998,0.9999999999999999
83,30.0,3.0,0.18400000000000005,0.9999999999999999
84,30.0,4.0,0.17800000000000005,0.9999999999999999
85,30.0,5.0,0.16649999999999998,0.9999999999999999
86,30.0,6.0,0.18799999999999994,0.9999999999999999
87,30.0,7.0,0.17300000000000004,0.9999999999999999
88,30.0,8.0,0.1875,0.9999999999999999
89,30.0,9.0,0.17300000000000004,0.9999999999999999
90,40.0,0.0,0.17149999999999999,0.9999999999999999
91,40.0,1.0,0.16700000000000004,0.9999999999999999
92,40.0,2.0,0.17500000000000004,0.9999999999999999
93,40.0,3.0,0.18999999999999995,0.9999999999999999
94,40.0,4.0,0.16300000000000003,0.9999999999999999
95,40.0,5.0,0.1845,0.9999999999999999
96,40.0,6.0,0.17500000000000004,0.9999999999999999
97,40.0,7.0,0.1785,0.9999999999999999
98,40.0,8.0,0.17600000000000005,0.9999999999999999
99,40.0,9.0,0.16700000000000004,0.9999999999999999
