,m,r,1,alpha
0,0.0,0.0,0.35050000000000003,0.5
1,0.0,1.0,0.34950000000000003,0.5
2,0.0,2.0,0.3315,0.5
3,0.0,3.0,0.3395,0.5
4,0.0,4.0,0.33499999999999996,0.5
5,0.0,5.0,0.3285,0.5
6,0.0,6.0,0.34650000000000003,0.5
7,0.0,7.0,0.3395,0.5
8,0.0,8.0,0.3325,0.5
9,0.0,9.0,0.3295,0.5
10,1.0,0.0,0.34099999999999997,0.7
11,1.0,1.0,0.33199999999999996,0.7
12,1.0,2.0,0.3185,0.7
13,1.0,3.0,0.3385,0.7
14,1.0,4.0,0.3275,0.7
15,1.0,5.0,0.33499999999999996,0.7
16,1.0,6.0,0.3325,0.7
17,1.0,7.0,0.3265,0.7
18,1.0,8.0,0.3335,0.7
19,1.0,9.0,0.33199999999999996,0.7
20,2.0,0.0,0.3425,0.9999999999999999
21,2.0,1.0,0.3395,0.9999999999999999
22,2.0,2.0,0.33399999999999996,0.9999999999999999
23,2.0,3.0,0.347,0.9999999999999999
24,2.0,4.0,0.33899999999999997,0.9999999999999999
25,2.0,5.0,0.347,0.9999999999999999
26,2.0,6.0,0.35450000000000004,0.9999999999999999
27,2.0,7.0,0.346,0.9999999999999999
28,2.0,8.0,0.3405,0.9999999999999999
29,2.0,9.0,0.3395,0.9999999999999999
30,3.0,0.0,0.3405,0.9999999999999999
31,3.0,1.0,0.33699999999999997,0.9999999999999999
32,3.0,2.0,0.33199999999999996,0.9999999999999999
33,3.0,3.0,0.34850000000000003,0.9999999999999999
34,3.0,4.0,0.348,0.9999999999999999
35,3.0,5.0,0.33199999999999996,0.9999999999999999
36,3.0,6.0,0.3255,0.9999999999999999
37,3.0,7.0,0.32799999999999996,0.9999999999999999
38,3.0,8.0,0.33899999999999997,0.9999999999999999
39,3.0,9.0,0.3395,0.9999999999999999
40,4.0,0.0,0.356,0.7
41,4.0,1.0,0.365,0.7
42,4.0,2.0,0.37050000000000005,0.7
43,4.0,3.0,0.34950000000000003,0.7
44,4.0,4.0,0.359,0.7
45,4.0,5.0,0.36150000000000004,0.7
46,4.0,6.0,0.348,0.7
47,4.0,7.0,0.349,0.7
48,4.0,8.0,0.356,0.7
49,4.0,9.0,0.364,0.7
50,5.0,0.0,0.34750000000000003,0.7
51,5.0,1.0,0.34850000000000003,0.7
52,5.0,2.0,0.358,0.7
53,5.0,3.0,0.351,0.7
54,5.0,4.0,0.34850000000000003,0.7
55,5.0,5.0,0.357,0.7
56,5.0,6.0,0.3395,0.7
57,5.0,7.0,0.36,0.7
58,5.0,8.0,0.346,0.7
59,5.0,9.0,0.36050000000000004,0.7
60,10.0,0.0,0.35850000000000004,0.5
61,10.0,1.0,0.34099999999999997,0.5
62,10.0,2.0,0.365,0.5
63,10.0,3.0,0.35350000000000004,0.5
64,10.0,4.0,0.36050000000000004,0.5
65,10.0,5.0,0.35150000000000003,0.5
66,10.0,6.0,0.35650000000000004,0.5
67,10.0,7.0,0.35550000000000004,0.5
68,10.0,8.0,0.37749999999999995,0.5
69,10.0,9.0,0.369,0.5
70,20.0,0.0,0.37350000000000005,0.5
71,20.0,1.0,0.37849999999999995,0.5
72,20.0,2.0,0.35650000000000004,0.5
73,20.0,3.0,0.379,0.5
74,20.0,4.0,0.36850000000000005,0.5
75,20.0,5.0,0.366,0.5
76,20.0,6.0,0.37350000000000005,0.5
77,20.0,7.0,0.375,0.5
78,20.0,8.0,0.36850000000000005,0.5
79,20.0,9.0,0.39,0.5
80,30.0,0.0,0.37949999999999995,0.7999999999999999
81,30.0,1.0,0.361,0.7999999999999999
82,30.0,2.0,0.37050000000000005,0.7999999999999999
83,30.0,3.0,0.388,0.7999999999999999
84,30.0,4.0,0.381,0.7999999999999999
85,30.0,5.0,0.374,0.7999999999999999
86,30.0,6.0,0.37649999999999995,0.7999999999999999
87,30.0,7.0,0.38949999999999996,0.7999999999999999
88,30.0,8.0,0.38249999999999995,0.7999999999999999
89,30.0,9.0,0.36950000000000005,0.7999999999999999
90,40.0,0.0,0.365,0.7999999999999999
91,40.0,1.0,0.37350000000000005,0.7999999999999999
92,40.0,2.0,0.38449999999999995,0.7999999999999999
93,40.0,3.0,0.367,0.7999999999999999
94,40.0,4.0,0.37649999999999995,0.7999999999999999
95,40.0,5.0,0.37749999999999995,0.7999999999999999
96,40.0,6.0,0.37849999999999995,0.7999999999999999
97,40.0,7.0,0.36350000000000005,0.7999999999999999
98,40.0,8.0,0.372,0.7999999999999999
99,40.0,9.0,0.35850000000000004,0.7999999999999999
