,m,r,1,alpha,3
0,0.0,0.0,0.35050000000000003,0.5,0.3405
1,0.0,1.0,0.34950000000000003,0.5,0.3305
2,0.0,2.0,0.3315,0.5,0.3385
3,0.0,3.0,0.3395,0.5,0.33399999999999996
4,0.0,4.0,0.33499999999999996,0.5,0.3375
5,0.0,5.0,0.3285,0.5,0.33799999999999997
6,0.0,6.0,0.34650000000000003,0.5,0.31200000000000006
7,0.0,7.0,0.3395,0.5,0.33499999999999996
8,0.0,8.0,0.3325,0.5,0.33099999999999996
9,0.0,9.0,0.3295,0.5,0.3315
10,1.0,0.0,0.34099999999999997,0.9999999999999999,0.32699999999999996
11,1.0,1.0,0.33199999999999996,0.9999999999999999,0.3345
12,1.0,2.0,0.3185,0.9999999999999999,0.3435
13,1.0,3.0,0.3385,0.9999999999999999,0.31999999999999995
14,1.0,4.0,0.3275,0.9999999999999999,0.32899999999999996
15,1.0,5.0,0.33499999999999996,0.9999999999999999,0.33899999999999997
16,1.0,6.0,0.3325,0.9999999999999999,0.3305
17,1.0,7.0,0.3265,0.9999999999999999,0.32499999999999996
18,1.0,8.0,0.3335,0.9999999999999999,0.347
19,1.0,9.0,0.33199999999999996,0.9999999999999999,0.34199999999999997
20,2.0,0.0,0.3425,0.9999999999999999,0.33399999999999996
21,2.0,1.0,0.3395,0.9999999999999999,0.3405
22,2.0,2.0,0.33399999999999996,0.9999999999999999,0.31699999999999995
23,2.0,3.0,0.347,0.9999999999999999,0.3425
24,2.0,4.0,0.33899999999999997,0.9999999999999999,0.3235
25,2.0,5.0,0.347,0.9999999999999999,0.33899999999999997
26,2.0,6.0,0.35450000000000004,0.9999999999999999,0.34950000000000003
27,2.0,7.0,0.346,0.9999999999999999,0.33199999999999996
28,2.0,8.0,0.3405,0.9999999999999999,0.349
29,2.0,9.0,0.3395,0.9999999999999999,0.34750000000000003
30,3.0,0.0,0.3405,0.9999999999999999,0.3435
31,3.0,1.0,0.33699999999999997,0.9999999999999999,0.3375
32,3.0,2.0,0.33199999999999996,0.9999999999999999,0.3315
33,3.0,3.0,0.34850000000000003,0.9999999999999999,0.3305
34,3.0,4.0,0.348,0.9999999999999999,0.3305
