,m,r,2,alpha,3,4
0,0.0,0.0,0.18500000000000005,0.5,0.1915,0.17200000000000004
1,0.0,1.0,0.16949999999999998,0.5,0.17700000000000005,0.16449999999999998
2,0.0,2.0,0.1765,0.5,0.1735,0.18100000000000005
3,0.0,3.0,0.1865,0.5,0.18799999999999994,0.18899999999999995
4,0.0,4.0,0.18700000000000006,0.5,0.17049999999999998,0.1865
5,0.0,5.0,0.1725,0.5,0.19199999999999995,0.17500000000000004
6,0.0,6.0,0.1825,0.5,0.17700000000000005,0.17149999999999999
7,0.0,7.0,0.16200000000000003,0.5,0.16800000000000004,0.1835
8,0.0,8.0,0.17500000000000004,0.5,0.18600000000000005,0.1995
9,0.0,9.0,0.16649999999999998,0.5,0.17300000000000004,0.17800000000000005
10,1.0,0.0,0.20550000000000002,0.5,0.18700000000000006,0.249
11,1.0,1.0,0.19699999999999995,0.5,0.1825,0.24950000000000006
12,1.0,2.0,0.19699999999999995,0.5,0.19199999999999995,0.23399999999999999
13,1.0,3.0,0.19199999999999995,0.5,0.18200000000000005,0.24750000000000005
14,1.0,4.0,0.1935,0.5,0.1835,0.243
15,1.0,5.0,0.1995,0.5,0.18500000000000005,0.24950000000000006
16,1.0,6.0,0.1975,0.5,0.21199999999999997,0.25149999999999995
17,1.0,7.0,0.20599999999999996,0.5,0.18700000000000006,0.25149999999999995
18,1.0,8.0,0.18899999999999995,0.5,0.18400000000000005,0.244
19,1.0,9.0,0.1985,0.5,0.18200000000000005,0.23850000000000005
20,2.0,0.0,0.21099999999999997,0.5,0.22950000000000004,0.264
21,2.0,1.0,0.22250000000000003,0.5,0.21850000000000003,0.263
22,2.0,2.0,0.21350000000000002,0.5,0.21750000000000003,0.27449999999999997
23,2.0,3.0,0.21199999999999997,0.5,0.238,0.26549999999999996
24,2.0,4.0,0.22099999999999997,0.5,0.22099999999999997,0.26549999999999996
25,2.0,5.0,0.21099999999999997,0.5,0.22799999999999998,0.26149999999999995
26,2.0,6.0,0.21199999999999997,0.5,0.22750000000000004,0.24550000000000005
27,2.0,7.0,0.20999999999999996,0.5,0.22199999999999998,0.253
28,2.0,8.0,0.21150000000000002,0.5,0.22850000000000004,0.26749999999999996
29,2.0,9.0,0.21250000000000002,0.5,0.22899999999999998,0.27
30,3.0,0.0,0.22899999999999998,0.5,0.21499999999999997,0.281
31,3.0,1.0,0.22999999999999998,0.5,0.22499999999999998,0.29100000000000004
32,3.0,2.0,0.20899999999999996,0.5,0.21299999999999997,0.3005
33,3.0,3.0,0.22399999999999998,0.5,0.21699999999999997,0.26549999999999996
34,3.0,4.0,0.22050000000000003,0.5,0.20899999999999996,0.27149999999999996
35,3.0,5.0,0.21550000000000002,0.5,0.20999999999999996,0.27449999999999997
36,3.0,6.0,0.21599999999999997,0.5,0.22499999999999998,0.278
37,3.0,7.0,0.22899999999999998,0.5,0.21199999999999997,0.26749999999999996
38,3.0,8.0,0.21799999999999997,0.5,0.23199999999999998,0.261
39,3.0,9.0,0.20350000000000001,0.5,0.22999999999999998,0.27549999999999997
40,4.0,0.0,0.21950000000000003,0.8999999999999999,0.21950000000000003,0.25349999999999995
41,4.0,1.0,0.21999999999999997,0.8999999999999999,0.23850000000000005,0.25
42,4.0,2.0,0.24750000000000005,0.8999999999999999,0.22099999999999997,0.274
43,4.0,3.0,0.22250000000000003,0.8999999999999999,0.23099999999999998,0.27049999999999996
44,4.0,4.0,0.22250000000000003,0.8999999999999999,0.21999999999999997,0.257
45,4.0,5.0,0.21799999999999997,0.8999999999999999,0.20350000000000001,0.23950000000000005
46,4.0,6.0,0.20850000000000002,0.8999999999999999,0.22199999999999998,0.253
47,4.0,7.0,0.21899999999999997,0.8999999999999999,0.22350000000000003,0.253
48,4.0,8.0,0.20699999999999996,0.8999999999999999,0.23850000000000005,0.24650000000000005
49,4.0,9.0,0.22099999999999997,0.8999999999999999,0.238,0.26149999999999995
50,5.0,0.0,0.239,0.6,0.22550000000000003,0.2965
51,5.0,1.0,0.238,0.6,0.21499999999999997,0.3015
52,5.0,2.0,0.23650000000000004,0.6,0.22150000000000003,0.28400000000000003
53,5.0,3.0,0.23250000000000004,0.6,0.22399999999999998,0.276
54,5.0,4.0,0.23650000000000004,0.6,0.22150000000000003,0.27549999999999997
55,5.0,5.0,0.23399999999999999,0.6,0.22750000000000004,0.3135
56,5.0,6.0,0.23650000000000004,0.6,0.22350000000000003,0.2925
57,5.0,7.0,0.22850000000000004,0.6,0.21599999999999997,0.2825
58,5.0,8.0,0.24,0.6,0.22850000000000004,0.29800000000000004
59,5.0,9.0,0.23199999999999998,0.6,0.22550000000000003,0.2865
60,10.0,0.0,0.28,0.6,0.21999999999999997,0.33499999999999996
61,10.0,1.0,0.281,0.6,0.23050000000000004,0.3395
62,10.0,2.0,0.26649999999999996,0.6,0.22950000000000004,0.3195
63,10.0,3.0,0.29100000000000004,0.6,0.22050000000000003,0.33099999999999996
64,10.0,4.0,0.276,0.6,0.235,0.3315
65,10.0,5.0,0.26049999999999995,0.6,0.22199999999999998,0.30600000000000005
66,10.0,6.0,0.26049999999999995,0.6,0.23399999999999999,0.3315
67,10.0,7.0,0.274,0.6,0.22499999999999998,0.33399999999999996
68,10.0,8.0,0.265,0.6,0.23650000000000004,0.3225
69,10.0,9.0,0.28300000000000003,0.6,0.24650000000000005,0.3325
70,20.0,0.0,0.2975,0.6,0.27649999999999997,0.35150000000000003
