,m,r,1,3,4
0,0.0,0.0,0.3375,0.34199999999999997,0.34950000000000003
1,0.0,1.0,0.33599999999999997,0.35450000000000004,0.33099999999999996
2,0.0,2.0,0.39949999999999997,0.33999999999999997,0.3435
3,0.0,3.0,0.38049999999999995,0.32399999999999995,0.357
4,0.0,4.0,0.346,0.361,0.33799999999999997
5,0.0,5.0,0.33699999999999997,0.398,0.349
6,0.0,6.0,0.3245,0.36150000000000004,0.3375
7,0.0,7.0,0.372,0.31899999999999995,0.38449999999999995
8,0.0,8.0,0.36050000000000004,0.33599999999999997,0.37749999999999995
9,0.0,9.0,0.345,0.361,0.40149999999999997
10,1.0,0.0,0.3065,0.34199999999999997,0.36250000000000004
11,1.0,1.0,0.30300000000000005,0.354,0.3375
12,1.0,2.0,0.3155,0.3375,0.3235
13,1.0,3.0,0.3035,0.353,0.32599999999999996
14,1.0,4.0,0.39949999999999997,0.36550000000000005,0.3325
15,1.0,5.0,0.352,0.344,0.30100000000000005
16,1.0,6.0,0.35750000000000004,0.36250000000000004,0.35750000000000004
17,1.0,7.0,0.38849999999999996,0.3175,0.2985
18,1.0,8.0,0.32699999999999996,0.3205,0.37749999999999995
19,1.0,9.0,0.32499999999999996,0.32999999999999996,0.33299999999999996
20,2.0,0.0,0.35950000000000004,0.2815,0.30200000000000005
21,2.0,1.0,0.3345,0.32699999999999996,0.3215
22,2.0,2.0,0.33599999999999997,0.2835,0.349
23,2.0,3.0,0.36750000000000005,0.31000000000000005,0.32599999999999996
24,2.0,4.0,0.3115,0.35650000000000004,0.344
25,2.0,5.0,0.37,0.32599999999999996,0.30300000000000005
26,2.0,6.0,0.3425,0.33599999999999997,0.34299999999999997
27,2.0,7.0,0.3245,0.3195,0.32899999999999996
28,2.0,8.0,0.2885,0.346,0.2835
29,2.0,9.0,0.3405,0.3425,0.30700000000000005
30,3.0,0.0,0.367,0.32599999999999996,0.30000000000000004
31,3.0,1.0,0.3235,0.3375,0.31200000000000006
32,3.0,2.0,0.36,0.36450000000000005,0.3015
33,3.0,3.0,0.35450000000000004,0.3405,0.31100000000000005
34,3.0,4.0,0.3315,0.3105,0.2985
35,3.0,5.0,0.34550000000000003,0.32899999999999996,0.3145
36,3.0,6.0,0.3275,0.33299999999999996,0.34099999999999997
37,3.0,7.0,0.349,0.3325,0.32999999999999996
38,3.0,8.0,0.31699999999999995,0.34850000000000003,0.3435
39,3.0,9.0,0.363,0.3165,0.36650000000000005
40,4.0,0.0,0.368,0.34299999999999997,0.2935
41,4.0,1.0,0.34099999999999997,0.3305,0.30600000000000005
42,4.0,2.0,0.3355,0.3395,0.31299999999999994
43,4.0,3.0,0.364,0.29900000000000004,0.32999999999999996
