,m,r,1,3
86,30.0,6.0,0.31599999999999995,0.27849999999999997
87,30.0,7.0,0.3335,0.247
88,30.0,8.0,0.31499999999999995,0.27
89,30.0,9.0,0.2835,0.24350000000000005
90,40.0,0.0,0.34450000000000003,0.27749999999999997
91,40.0,1.0,0.34099999999999997,0.27649999999999997
92,40.0,2.0,0.4065,0.30000000000000004
93,40.0,3.0,0.31200000000000006,0.3095
94,40.0,4.0,0.32499999999999996,0.29800000000000004
95,40.0,5.0,0.3265,0.2845
96,40.0,6.0,0.29400000000000004,0.27249999999999996
97,40.0,7.0,0.265,0.26849999999999996
98,40.0,8.0,0.29400000000000004,0.275
99,40.0,9.0,0.2825,0.29000000000000004
100,60.0,0.0,0.29100000000000004,0.267
101,60.0,1.0,0.262,0.28800000000000003
102,60.0,2.0,0.3025,0.25649999999999995
103,60.0,3.0,0.276,0.29500000000000004
104,60.0,4.0,0.275,0.28500000000000003
105,60.0,5.0,0.279,0.24850000000000005
106,60.0,6.0,0.27049999999999996,0.3055
107,60.0,7.0,0.27949999999999997,0.278
108,60.0,8.0,0.28600000000000003,0.26849999999999996
109,60.0,9.0,0.28700000000000003,0.257
110,70.0,0.0,0.28049999999999997,0.262
111,70.0,1.0,0.27149999999999996,0.267
112,70.0,2.0,0.3065,0.26
113,70.0,3.0,0.276,0.276
114,70.0,4.0,0.25449999999999995,0.279
115,70.0,5.0,0.24150000000000005,0.27149999999999996
116,70.0,6.0,0.255,0.255
117,70.0,7.0,0.253,0.3145
118,70.0,8.0,0.262,0.255
119,70.0,9.0,0.25349999999999995,0.2825
120,80.0,0.0,0.25649999999999995,0.24950000000000006
121,80.0,1.0,0.277,0.261
122,80.0,2.0,0.2865,0.255
123,80.0,3.0,0.30000000000000004,0.264
124,80.0,4.0,0.2985,0.278
125,80.0,5.0,0.27249999999999996,0.24650000000000005
126,80.0,6.0,0.28700000000000003,0.3015
127,80.0,7.0,0.273,0.24550000000000005
128,80.0,8.0,0.27149999999999996,0.29500000000000004
129,80.0,9.0,0.24650000000000005,0.28200000000000003
130,90.0,0.0,0.272,0.24650000000000005
131,90.0,1.0,0.241,0.264
132,90.0,2.0,0.26449999999999996,0.24550000000000005
133,90.0,3.0,0.26549999999999996,0.27549999999999997
134,90.0,4.0,0.26449999999999996,0.24650000000000005
135,90.0,5.0,0.24550000000000005,0.23350000000000004
136,90.0,6.0,0.2995,0.29300000000000004
137,90.0,7.0,0.27949999999999997,0.244
138,90.0,8.0,0.27449999999999997,0.248
139,90.0,9.0,0.25849999999999995,0.26
