,m,r,5,alpha
0,0.0,0.0,0.19199999999999995,0.5
1,0.0,1.0,0.17300000000000004,0.5
2,0.0,2.0,0.1775,0.5
3,0.0,3.0,0.1855,0.5
4,0.0,4.0,0.20599999999999996,0.5
5,0.0,5.0,0.18799999999999994,0.5
6,0.0,6.0,0.18000000000000005,0.5
7,0.0,7.0,0.16549999999999998,0.5
8,0.0,8.0,0.18300000000000005,0.5
9,0.0,9.0,0.16600000000000004,0.5
10,1.0,0.0,0.15600000000000003,0.9
11,1.0,1.0,0.15700000000000003,0.9
12,1.0,2.0,0.16249999999999998,0.9
13,1.0,3.0,0.16100000000000003,0.9
14,1.0,4.0,0.15349999999999997,0.9
15,1.0,5.0,0.15749999999999997,0.9
16,1.0,6.0,0.15700000000000003,0.9
17,1.0,7.0,0.17900000000000005,0.9
18,1.0,8.0,0.15849999999999997,0.9
19,1.0,9.0,0.16249999999999998,0.9
20,2.0,0.0,0.15849999999999997,0.2
21,2.0,1.0,0.15749999999999997,0.2
22,2.0,2.0,0.15600000000000003,0.2
23,2.0,3.0,0.14449999999999996,0.2
24,2.0,4.0,0.15600000000000003,0.2
25,2.0,5.0,0.15749999999999997,0.2
26,2.0,6.0,0.15949999999999998,0.2
27,2.0,7.0,0.15349999999999997,0.2
28,2.0,8.0,0.16149999999999998,0.2
29,2.0,9.0,0.16749999999999998,0.2
30,3.0,0.0,0.16900000000000004,0.8
31,3.0,1.0,0.15149999999999997,0.8
32,3.0,2.0,0.16249999999999998,0.8
33,3.0,3.0,0.15600000000000003,0.8
34,3.0,4.0,0.16100000000000003,0.8
35,3.0,5.0,0.14949999999999997,0.8
36,3.0,6.0,0.15449999999999997,0.8
37,3.0,7.0,0.15349999999999997,0.8
38,3.0,8.0,0.14449999999999996,0.8
39,3.0,9.0,0.15049999999999997,0.8
40,4.0,0.0,0.16649999999999998,0.6
41,4.0,1.0,0.17149999999999999,0.6
42,4.0,2.0,0.1835,0.6
43,4.0,3.0,0.16049999999999998,0.6
44,4.0,4.0,0.16949999999999998,0.6
45,4.0,5.0,0.17100000000000004,0.6
46,4.0,6.0,0.17200000000000004,0.6
47,4.0,7.0,0.17900000000000005,0.6
48,4.0,8.0,0.16449999999999998,0.6
49,4.0,9.0,0.17100000000000004,0.6
50,5.0,0.0,0.16549999999999998,0.8
51,5.0,1.0,0.16849999999999998,0.8
52,5.0,2.0,0.18000000000000005,0.8
53,5.0,3.0,0.17800000000000005,0.8
54,5.0,4.0,0.16400000000000003,0.8
55,5.0,5.0,0.1725,0.8
56,5.0,6.0,0.18400000000000005,0.8
57,5.0,7.0,0.16000000000000003,0.8
58,5.0,8.0,0.16800000000000004,0.8
59,5.0,9.0,0.17700000000000005,0.8
60,10.0,0.0,0.1845,0.8
61,10.0,1.0,0.1975,0.8
62,10.0,2.0,0.18899999999999995,0.8
63,10.0,3.0,0.18200000000000005,0.8
64,10.0,4.0,0.19099999999999995,0.8
65,10.0,5.0,0.1935,0.8
66,10.0,6.0,0.19799999999999995,0.8
67,10.0,7.0,0.17900000000000005,0.8
68,10.0,8.0,0.1875,0.8
69,10.0,9.0,0.18100000000000005,0.8
70,20.0,0.0,0.20299999999999996,1.0
71,20.0,1.0,0.22050000000000003,1.0
72,20.0,2.0,0.21950000000000003,1.0
73,20.0,3.0,0.21399999999999997,1.0
74,20.0,4.0,0.20350000000000001,1.0
75,20.0,5.0,0.19999999999999996,1.0
76,20.0,6.0,0.1925,1.0
77,20.0,7.0,0.20499999999999996,1.0
78,20.0,8.0,0.21150000000000002,1.0
79,20.0,9.0,0.20599999999999996,1.0
